Precision target,c_correct (mean over folds),c_correct (min),c_correct (max),Review days,Review days per station-year,False corrections,False corrections per station-year,Site-day recall,Achieved energy precision,Energy IoU
0.9,0.505,0.5,0.53,2,0.3192744755244755,44,7.024038461538462,0.9234042553191488,0.9255660657184795,0.8911707987515651
0.925,0.6625,0.64,0.705,67,10.69569493006993,25,3.990930944055944,0.9042553191489362,0.9381492101799256,0.8965393699013107
0.95,0.8331249999999999,0.82,0.85,178,28.415428321678323,11,1.7560096153846154,0.8,0.9520457811548022,0.8575279020035306
0.975,0.950625,0.945,0.955,405,64.6530812937063,0,0.0,0.4957446808510638,0.9798774175969076,0.661760960981573
0.99,0.99,0.99,0.99,690,110.14969405594404,0,0.0,0.0446808510638297,0.998668691369528,0.0552419214572857
