cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,33520.361709000004,0.8782106468197737,0.9144464447192996,0.985781990521327,0.7997633836143153,0.8830829523187459,2704,39,677,0.26311750599520384,0.6555395683453238,0.08134292565947242,3381,0.7997633836143153,0.17687074829931973,0.008832656813519815,0.024489772929672925,0.00012969513195576488
beta,headline,2305,470,9896.145749500001,9771.5581105,0.8790559404530504,0.9416004231825829,0.9437939110070258,0.8574468085106383,0.8985507246376813,403,24,67,0.18524945770065077,0.7696312364425163,0.04511930585683297,470,0.8574468085106383,0.06595744680851064,0.012784123019940662,0.033721526215062275,0.0008637215153268207
beta,unsure_sensitivity,617,159,1563.540946,1474.935188,0.39774787821183055,0.5862217431888946,0.5681818181818182,0.4716981132075472,0.5154639175257733,75,57,84,0.21393841166936792,0.6045380875202593,0.18152350081037277,0,,,,,
