population,k,n_days_with_window,exact_within_top_k,iou_target_within_top_k,mean_iou,interval_precision,interval_recall,interval_f1,energy_iou,energy_precision
Alpha,1,3381,0.24046140195208518,0.5454007690032535,0.7083525685013426,0.829846977235037,0.929420207264822,0.8768157064205571,0.8740681182598585,0.8926493593492595
Alpha,3,3381,0.4616977225672878,0.6172729961549838,0.7729150275194197,0.8672411134243195,0.9495557103358028,0.9065336758853457,0.9000571360577388,0.9149128400121466
Alpha,5,3381,0.5554569653948536,0.6539485359361136,0.7995326917944494,0.887511036986167,0.9546845648916187,0.9198730985113479,0.916652279686816,0.9309007186396663
Beta sure,1,470,0.33404255319148934,0.823404255319149,0.8843704423274867,0.9146715188661176,0.9703342476887128,0.9416810451072222,0.951199739131498,0.9614822318530412
Beta sure,3,470,0.5234042553191489,0.8680851063829788,0.9188747686596045,0.9405699834646435,0.982424057705984,0.9610415424368912,0.967858725636745,0.9759637304469061
Beta sure,5,470,0.625531914893617,0.8957446808510638,0.9368059737948716,0.9555336940482047,0.9867926445189474,0.9709116353458616,0.9786711989843304,0.9847355297073709
Beta unsure,1,159,0.1069182389937107,0.42138364779874216,0.639846862139579,0.7953410981697171,0.8213058419243986,0.8081149619611159,0.7330825579057173,0.8756684843643807
Beta unsure,3,159,0.20125786163522014,0.5345911949685535,0.7075716137338122,0.8486786018755328,0.8552405498281787,0.8519469405220368,0.7879276180529576,0.917556716158398
Beta unsure,5,159,0.27672955974842767,0.610062893081761,0.7545606554557337,0.88797221016066,0.8784364261168385,0.8831785791405744,0.8295325333744387,0.9464534250447795
