contiguity,n_days,n_days_with_window,n_null_wins,exact_share,mean_iou,median_iou,share_iou_ge_target,mean_best_admissible_iou,interval_precision,interval_recall,interval_f1,energy_iou,energy_precision,candidate_mwh,correct_mwh,required_mwh
Alpha (contiguous),1951,1951,208,0.3557150179395182,0.8103733232163401,0.9473684210526315,0.760635571501794,0.9605120346244191,0.9200361127232862,0.9694889915737972,0.9441154087946266,0.9535468058684335,0.9592980981275988,23123.001744499998,22181.851596499997,22321.317368
Alpha (non-contiguous),1430,1430,80,0.08321678321678322,0.5691620143412309,0.6153846153846154,0.2517482517482518,0.750487016663629,0.7029931972789115,0.8637098122248844,0.7751081331099832,0.7265856515628503,0.7634745521796756,11930.491222,9108.626443000001,9714.3398975
