population,n_days_with_window,n_exact,n_too long (start),n_too long (end),n_too long (both),n_too short,n_shifted earlier,n_shifted later,n_disjoint,share_exact,share_too long (start),share_too long (end),share_too long (both),share_too short,share_shifted earlier,share_shifted later,share_disjoint,mean_start_offset_slots,mean_end_offset_slots,share_start_within_1_slot,share_end_within_1_slot,share_both_edges_within_1_slot,mean_extra_slots_too_long
Alpha,3381,813,408,371,321,879,231,186,172,0.24046140195208518,0.12067435669920142,0.10973084886128365,0.09494232475598935,0.25998225377107365,0.06832298136645963,0.055013309671694766,0.050872522922212365,0.06093489148580968,-0.30258764607679467,0.7477077787636793,0.7391304347826086,0.5862170955338657,3.119090909090909
Beta sure,470,157,51,55,75,97,23,10,2,0.33404255319148934,0.10851063829787234,0.11702127659574468,0.1595744680851064,0.20638297872340425,0.04893617021276596,0.02127659574468085,0.00425531914893617,-1.090032154340836,0.8681672025723473,0.7553191489361702,0.7893617021276595,0.6297872340425532,4.392265193370166
Beta unsure,159,17,24,18,33,40,9,7,11,0.1069182389937107,0.1509433962264151,0.11320754716981132,0.20754716981132076,0.25157232704402516,0.05660377358490566,0.0440251572327044,0.06918238993710692,-0.9236641221374046,0.1984732824427481,0.5094339622641509,0.5094339622641509,0.2893081761006289,5.48
Alpha (contiguous),1951,694,267,245,177,304,64,60,140,0.3557150179395182,0.13685289595079447,0.1255766273705792,0.09072270630445925,0.15581752947206562,0.032803690415171706,0.030753459764223477,0.0717580727831881,-0.720680393912265,0.6768128916741272,0.8446950281906714,0.8441824705279344,0.7575602255253716,2.8229317851959363
Alpha (non-contiguous),1430,119,141,126,144,575,167,126,32,0.08321678321678322,0.0986013986013986,0.08811188811188811,0.1006993006993007,0.4020979020979021,0.11678321678321678,0.08811188811188811,0.022377622377622378,0.743549648162627,-1.1579358874120407,0.6153846153846154,0.5958041958041959,0.35244755244755244,3.6155717761557176
