contiguity,ranking,target,n_days,n_1,n_2,n_3,n_4-10,n_>10,n_not admissible,n_not scoreable,n_none >= 0.8,share_1,share_2,share_3,share_4-10,share_>10,share_not admissible,share_not scoreable,share_none >= 0.8
Alpha (contiguous),admissible,exact span,1951,694,376,180,336,138,227,0,0,0.3557150179395182,0.19272168118913377,0.09226037929267042,0.17221937467965145,0.07073295745771399,0.11635058944131214,0.0,0.0
Alpha (contiguous),admissible,IoU >= 0.8,1951,1484,83,47,135,78,0,0,124,0.760635571501794,0.04254228600717581,0.02409021014864172,0.06919528446950282,0.03997949769349052,0.0,0.0,0.06355715017939519
Alpha (contiguous),all windows,exact span,1951,568,312,174,460,436,0,1,0,0.2911327524346489,0.15991799077396207,0.08918503331624808,0.23577652485904665,0.22347514095335724,0.0,0.0005125576627370579,0.0
Alpha (contiguous),all windows,IoU >= 0.8,1951,1466,89,53,149,193,0,0,1,0.7514095335725269,0.04561763198359815,0.02716555612506407,0.07637109174782163,0.09892362890825218,0.0,0.0,0.0005125576627370579
Alpha (non-contiguous),admissible,exact span,1430,119,103,89,260,480,379,0,0,0.08321678321678322,0.07202797202797202,0.062237762237762236,0.18181818181818182,0.3356643356643357,0.26503496503496504,0.0,0.0
Alpha (non-contiguous),admissible,IoU >= 0.8,1430,360,70,43,141,110,0,0,706,0.2517482517482518,0.04895104895104895,0.03006993006993007,0.0986013986013986,0.07692307692307693,0.0,0.0,0.4937062937062937
Alpha (non-contiguous),all windows,exact span,1430,88,80,62,249,950,0,1,0,0.06153846153846154,0.055944055944055944,0.043356643356643354,0.17412587412587413,0.6643356643356644,0.0,0.0006993006993006993,0.0
Alpha (non-contiguous),all windows,IoU >= 0.8,1430,338,64,35,133,221,0,0,639,0.23636363636363636,0.044755244755244755,0.024475524475524476,0.09300699300699301,0.15454545454545454,0.0,0.0,0.44685314685314687
