population,n_days,n_days_with_window,n_null_wins,exact_share,mean_iou,median_iou,share_iou_ge_target,mean_best_admissible_iou,interval_precision,interval_recall,interval_f1,energy_iou,energy_precision,candidate_mwh,correct_mwh,required_mwh
Alpha,3381,3381,288,0.24046140195208518,0.7083525685013426,0.8333333333333334,0.5454007690032535,0.8716815774567381,0.829846977235037,0.929420207264822,0.8768157064205571,0.8740681182598585,0.8926493593492595,35053.4929665,31290.4780395,32035.657265499998
Beta sure,470,470,6,0.33404255319148934,0.8843704423274867,0.945906432748538,0.823404255319149,0.9896452752690288,0.9146715188661176,0.9703342476887128,0.9416810451072222,0.951199739131498,0.9614822318530412,10178.159583499999,9786.1195925,9896.145749500001
Beta unsure,159,159,26,0.1069182389937107,0.639846862139579,0.7307692307692307,0.42138364779874216,0.9845477595351664,0.7953410981697171,0.8213058419243986,0.8081149619611159,0.7330825579057173,0.8756684843643807,1461.0206155000005,1279.3697080000002,1563.540946
