method,group,n_stations,n_stations_with_rpf,n_stations_with_correction,n_days,n_rpf,energy_iou,energy_precision,day_f1,day_precision,day_recall,sure_day_recall,rate_uncertain,interval_precision,interval_recall,interval_f1,window_iou_mean
m7,combined,18,14,18,12730,3851,0.2720316309647373,0.310756955520181,0.3748635365722721,0.30248798625724055,0.9052705310442953,0.9052705310442953,0.0,0.3636448213207213,0.7145809625895361,0.39584270025905655,0.5956289252869862
m7,alpha,10,7,10,10425,3381,0.27688314887421267,0.3004296551157495,0.43218071944363556,0.35425763912886715,0.9939385681829609,0.9939385681829609,0.0,0.3691858058000959,0.7671242497104759,0.4064889937783992,0.5712753157809657
m7,beta,8,7,8,2305,470,0.2659672335778932,0.3236660810257203,0.30321705798306786,0.23777592016770716,0.8166024939056299,0.8166024939056299,0.0,0.35671859072150314,0.6620376754685964,0.3825348333598782,0.6199825347930066
m8,combined,18,14,15,12730,3851,0.45892265481402955,0.7634037152545569,0.49763438074807254,0.7866046091888123,0.5714800451752523,0.5714800451752523,0.0,0.7316435568955033,0.5751521348283424,0.4812988400045159,0.4384020565330239
m8,alpha,10,7,7,10425,3381,0.44187457405855646,0.7760756648658063,0.4140525639472871,0.8385875228444147,0.45851024236878535,0.45851024236878535,0.0,0.7366005884874678,0.5492621707240447,0.4395838306852271,0.3414732957555867
m8,beta,8,7,8,2305,470,0.4802327557583707,0.7523157593447138,0.6021116517490543,0.7411195597401602,0.6844498479817193,0.6844498479817193,0.0,0.7273061542525343,0.6010420989326398,0.5334426016536268,0.535330817310461
m9,combined,18,14,14,12730,3851,0.6431891047085453,0.925049626885922,0.6125553100298647,0.9815256879597449,0.6917449125048968,0.6917449125048968,0.05035376877988171,0.8606309600063949,0.806782827636014,0.6358667651926934,0.5999477413382016
m9,alpha,10,7,7,10425,3381,0.5958298791405043,0.9239722393371715,0.507180872747757,0.997983077528532,0.577194510886646,0.577194510886646,0.05068181617095928,0.8754469349183701,0.7944979431239293,0.5813181961417956,0.49459209783512215
m9,beta,8,7,7,2305,470,0.7023881366685966,0.9261270144346722,0.7442733566324993,0.9650682983909579,0.8062953141231477,0.8062953141231477,0.04994370954103476,0.8458149850944198,0.8190677121480989,0.7040524765063154,0.7053033848412813
