rank,substation_id,rpf_days,rpf_intervals,data_error_rmse_MW,data_error_mae_MW,max_raw_flagged_MW,mean_raw_flagged_MW,min_reference_net_load_MW,abs_min_reference_net_load_MW,raw_reference_error_MW_sum
1,beta_B,152,3222,2.266361371046581,0.6119783415584787,8.245311,3.313743058969584,-8.245311,8.245311,21353.760272
2,beta_G,117,2717,1.2202103862112512,0.3111495175245972,4.292155,2.0078133662127344,-4.292155,4.292155,10910.457832
3,beta_A,29,485,0.8571065181818256,0.089325771696593,5.969137,3.220175537344398,-5.969137,5.969137,3104.249218
4,beta_F,184,3984,0.6772857564051785,0.1927772965691918,2.221656,0.8405941757028111,-2.221656,2.221656,6697.854391999999
5,beta_D,76,845,0.5805121691986685,0.07636502297633872,4.133597,1.4776171915662653,-4.133597,4.133597,2452.844538
6,beta_H,15,207,0.15329782803405645,0.011254595468329805,2.137683,0.9502249516908213,-2.137683,2.137683,393.39313
7,beta_C,13,168,0.14832806019187042,0.010065077085412804,1.584381,1.0503926428571428,-1.584381,1.584381,352.93192799999997
8,beta_E,44,553,0.1462037539240822,0.016983386321201853,1.272793,0.5345774213381554,-1.272793,1.272793,591.2426280000001
