direction,benchmark,station,intercept,slope,draw,fitted
alpha->beta,population_k27_review,beta_C,-4.175817807590573,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_D,-8.098359010524645,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_E,-3.133516955691407,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_F,-3.168579090731008,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_G,-5.935449759893473,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_H,-4.061015199499365,3.2417711939699054,6.0,True
alpha->beta,population_k27_review,beta_A,-3.148216512990115,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_B,-6.630018776593785,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_C,-5.5580411662497395,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_D,-6.3198773747415595,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_E,-5.954811053443259,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_F,-6.057945487051701,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_G,-3.6843419359609455,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_H,-4.860021290125615,3.2417711939699054,7.0,True
alpha->beta,population_k27_review,beta_A,-3.6089925845571,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_B,-4.227832246665192,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_C,-3.753515227226338,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_D,-6.550498411115687,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_E,-3.1845503820387306,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_F,-3.1389659865362978,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_G,-2.6897053732977616,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_H,-6.903743002106509,3.2417711939699054,8.0,True
alpha->beta,population_k27_review,beta_A,-6.362510058392068,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_B,-3.122454248307732,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_C,-2.986315467526522,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_D,-7.284800446020044,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_E,-3.097975925209543,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_F,-3.6932134449789755,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_G,-3.1621648130031352,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_H,-5.569129313179656,3.2417711939699054,9.0,True
alpha->beta,population_k27_review,beta_A,-3.142641194182897,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_B,-4.896154937149593,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_C,-4.837069405334296,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_D,-6.342160547069796,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_E,-4.728585000564278,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_F,-3.707318629587723,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_G,-5.452475664129983,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_H,-2.9440909606913537,3.2417711939699054,10.0,True
alpha->beta,population_k27_review,beta_A,-6.893747562326355,3.2417711939699054,11.0,True
