dataset,expected_final_substation_days,cached_substation_days,duplicate_cache_keys,missing_cache_keys,positive_day_labels,sure_substation_days,unsure_substation_days
alpha,10643,10643,0,0,3423,0,0
beta,2928,2928,0,0,630,2310,618
