strategy,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
random,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
random,beta_all,substation,beta_D,366,76,66,48,10,242,0.5789473684210527,0.868421052631579,0.6947368421052632
random,beta_all,substation,beta_E,366,44,41,17,3,305,0.7068965517241379,0.9318181818181818,0.803921568627451
random,beta_all,substation,beta_F,366,184,169,41,15,141,0.8047619047619048,0.9184782608695652,0.8578680203045684
random,beta_all,substation,beta_G,366,117,76,9,41,240,0.8941176470588236,0.6495726495726496,0.7524752475247525
random,beta_all,substation,beta_H,366,15,3,4,12,347,0.42857142857142855,0.2,0.27272727272727276
random,beta_all,macro_substation,,2928,630,467,149,163,2149,0.6141769555398804,0.6323168942457982,0.6031367852013949
optimised,beta_sure,pooled,,2310,471,385,48,86,1791,0.8891454965357968,0.8174097664543525,0.8517699115044248
optimised,beta_sure,substation,beta_A,337,26,25,10,1,301,0.7142857142857143,0.9615384615384616,0.819672131147541
optimised,beta_sure,substation,beta_B,231,125,75,2,50,104,0.974025974025974,0.6,0.7425742574257426
optimised,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
optimised,beta_sure,substation,beta_D,188,45,44,11,1,132,0.8,0.9777777777777777,0.8800000000000001
optimised,beta_sure,substation,beta_E,308,21,21,4,0,283,0.84,1.0,0.9130434782608696
optimised,beta_sure,substation,beta_F,287,165,155,15,10,107,0.9117647058823529,0.9393939393939394,0.9253731343283583
optimised,beta_sure,substation,beta_G,283,85,64,5,21,193,0.927536231884058,0.7529411764705882,0.8311688311688311
optimised,beta_sure,substation,beta_H,337,4,1,1,3,332,0.5,0.25,0.3333333333333333
optimised,beta_sure,macro_substation,,2310,471,385,48,86,1791,0.7084515782597623,0.6852064193975959,0.6806456457080845
optimised,beta_all,pooled,,2928,630,469,149,161,2149,0.7588996763754046,0.7444444444444445,0.7516025641025641
optimised,beta_all,substation,beta_A,366,29,27,14,2,323,0.6585365853658537,0.9310344827586207,0.7714285714285715
optimised,beta_all,substation,beta_B,366,152,85,16,67,198,0.8415841584158416,0.5592105263157895,0.6719367588932806
optimised,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
optimised,beta_all,substation,beta_D,366,76,66,48,10,242,0.5789473684210527,0.868421052631579,0.6947368421052632
optimised,beta_all,substation,beta_E,366,44,41,17,3,305,0.7068965517241379,0.9318181818181818,0.803921568627451
optimised,beta_all,substation,beta_F,366,184,169,41,15,141,0.8047619047619048,0.9184782608695652,0.8578680203045684
optimised,beta_all,substation,beta_G,366,117,78,9,39,240,0.896551724137931,0.6666666666666666,0.7647058823529411
optimised,beta_all,substation,beta_H,366,15,3,4,12,347,0.42857142857142855,0.2,0.27272727272727276
optimised,beta_all,macro_substation,,2928,630,469,149,161,2149,0.6144812151747687,0.6344536463825503,0.6046656145549185
