weight,outer_fold_mean,outer_fold_std,outer_fold_minimum,outer_fold_maximum,full_beta_selected
weight_F1,0.28385403522386576,0.07146041707069452,0.25,0.4544077203861563,0.25
weight_F3,0.13696350135369,0.02561596911588309,0.1,0.17167154441877608,0.15000000000000002
weight_F4,0.5791824634224443,0.08603742806951867,0.3739207351950676,0.65,0.6000000000000001
