anchors,cohort,rpf_r_q25,rpf_r_median,rpf_r_q75,non_rpf_r_q25,non_rpf_r_median,non_rpf_r_q75,non_rpf_r_q99,threshold_median,threshold_min,threshold_max
nearest,alpha,5.550279608112175,19.1188795490045,39.03543483841163,-4.166082611804459,-3.14881370229825,-2.1368959820034887,0.2832589106308843,0.3432174850016459,0.2612137857411525,0.3908864477012184
nearest,beta,19.651221152168066,32.10038473605206,47.04881827481566,-2.6515338064571496,-1.881632358308825,-1.101987850360521,12.497062319225696,11.236968606834678,10.58831679417933,13.052399340217788
edge,alpha,7.96228288681078,18.749053619609366,38.445680211694224,1.2350073156943495,4.242782311127527,8.768927862376183,32.94030167538099,29.207590691080362,23.372020110454056,35.47470268400535
edge,beta,21.619483993243765,35.115753249348856,49.879291336199444,1.9766460969941517,3.990979910136511,7.305082347284966,25.64802915511343,24.847978638532105,23.004050571567426,27.15369873330521
gap_edge,alpha,5.550279608112175,19.1188795490045,39.03543483841163,-4.166082611804459,-3.14881370229825,-2.1368959820034887,0.2832589106308843,0.3432174850016459,0.2612137857411525,0.3908864477012184
gap_edge,beta,18.731852431370168,31.995865326548277,47.04881827481566,-2.6520356281519857,-1.8833380285245085,-1.0986016283317874,12.505012817819809,11.04471706683126,10.277148680433344,12.77969160541502
