cohort,station,energy_iou_inc,energy_precision_inc,sure_day_recall_inc,sure_day_uncertain_rate_inc,day_precision_inc,day_f1_inc,energy_iou_cand,energy_precision_cand,sure_day_recall_cand,sure_day_uncertain_rate_cand,day_precision_cand,day_f1_cand,d_energy_iou,d_energy_precision,d_sure_day_recall,d_sure_day_uncertain_rate,d_day_precision,d_day_f1
beta,beta_A,0.95574060191616,0.9884132583433306,0.9230769230769232,0.0384615384615384,1.0,0.96,0.4531908957819481,0.5130980526021307,0.6923076923076923,0.1538461538461538,0.9473684210526316,0.7999999999999999,-0.5025497061342119,-0.4753152057411999,-0.23076923076923095,0.11538461538461539,-0.05263157894736836,-0.16000000000000003
beta,beta_B,0.8890926088713529,0.9478660044367612,0.864,0.056,1.0,0.927038626609442,0.8055753185459261,0.9928137187507337,0.696,0.24,1.0,0.820754716981132,-0.08351729032542676,0.04494771431397249,-0.16800000000000004,0.184,0.0,-0.10628390962831002
beta,beta_C,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0
beta,beta_D,0.9015861980944988,0.9662549108355374,0.7555555555555555,0.1777777777777777,0.9714285714285714,0.85,0.3476652111491185,0.4851798524679544,0.3555555555555555,0.1333333333333333,0.8421052631578947,0.5,-0.5539209869453803,-0.48107505836758296,-0.4,-0.0444444444444444,-0.12932330827067673,-0.35
beta,beta_E,0.899125056861397,0.9113346090655576,1.0,0.0,0.9545454545454546,0.9767441860465116,0.0626946114849948,0.0734820055173413,0.1904761904761904,0.2857142857142857,0.8,0.3076923076923077,-0.8364304453764022,-0.8378526035482163,-0.8095238095238095,0.2857142857142857,-0.15454545454545454,-0.6690518783542039
beta,beta_F,0.930078607694169,0.9496679852364251,0.9573170731707316,0.0304878048780487,0.9457831325301204,0.9515151515151516,0.8200892668279792,0.9226236144477862,0.725609756097561,0.1951219512195122,0.9754098360655736,0.8321678321678323,-0.10998934086618972,-0.02704437078863897,-0.2317073170731706,0.1646341463414635,0.02962670353545327,-0.11934731934731935
beta,beta_G,0.8700366556153777,0.9015351431655868,0.8941176470588236,0.0470588235294117,0.8837209302325582,0.888888888888889,0.7468755039338765,0.9553402205770736,0.7058823529411765,0.2,0.9523809523809524,0.810810810810811,-0.12316115168150121,0.05380507741148677,-0.18823529411764706,0.1529411764705883,0.06866002214839428,-0.07807807807807798
beta,beta_H,0.1734453642958175,0.8178171899595065,0.25,0.0,1.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,-0.1734453642958175,-0.8178171899595065,-0.25,0.5,-1.0,-0.4
