anchors,cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
nearest,alpha,headline,10425,3381,32035.6572655,35170.891025000004,0.8692058067623027,0.8885742368962344,0.9773162939297124,0.9047619047619048,0.9396406082015052,3059,71,322,0.3002398081534772,0.6736690647482014,0.0260911270983213,3381,0.9047619047619048,0.0496894409937888,0.0218492690396011,0.0241867004250445,0.0001940997997908
nearest,beta,headline,2305,470,9896.1457495,9973.6635165,0.8945449477456121,0.940667717682573,0.9524886877828054,0.8957446808510638,0.9232456140350876,421,21,49,0.1917570498915401,0.76529284164859,0.0429501084598698,470,0.8957446808510638,0.0531914893617021,0.0087894293113861,0.0265920716870667,0.0003968461508553
nearest,beta,unsure_sensitivity,617,159,1563.540946,1704.2250135000002,0.3858118429140458,0.5338205584904706,0.5524475524475524,0.4968553459119497,0.5231788079470198,79,64,80,0.2317666126418152,0.5883306320907618,0.179902755267423,0,,,,,
edge,alpha,headline,10425,3381,32035.6572655,73773.44278499999,0.2669808046685887,0.3022267993508011,0.8291731669266771,0.3144040224785566,0.4559296590177996,1063,219,2318,0.1229736211031175,0.5401438848920863,0.3368824940047961,3381,0.3144040224785566,0.4167406092871931,0.0504114724705746,0.1650411596194044,0.0009157822928849
edge,beta,headline,2305,470,9896.1457495,11331.073526,0.5863512966010954,0.6924374852476798,0.9296636085626911,0.6468085106382979,0.7628607277289838,304,23,166,0.1418655097613883,0.7561822125813449,0.1019522776572668,470,0.6468085106382979,0.2063829787234042,0.0200308468219298,0.055197974604456,0.0017545820103306
edge,beta,unsure_sensitivity,617,159,1563.540946,569.390692,0.288436708524127,0.8385983705192006,0.875,0.1320754716981132,0.2295081967213114,21,3,138,0.0388978930307941,0.7893030794165316,0.1717990275526742,0,,,,,
gap_edge,alpha,headline,10425,3381,32035.6572655,35170.891025000004,0.8692058067623027,0.8885742368962344,0.9773162939297124,0.9047619047619048,0.9396406082015052,3059,71,322,0.3002398081534772,0.6736690647482014,0.0260911270983213,3381,0.9047619047619048,0.0496894409937888,0.0218492690396011,0.0241867004250445,0.0001940997997908
gap_edge,beta,headline,2305,470,9896.1457495,9925.176735,0.8892251478611793,0.9399881894395304,0.9497716894977168,0.8851063829787233,0.9162995594713657,416,22,54,0.1900216919739696,0.7661605206073753,0.0438177874186551,470,0.8851063829787233,0.0489361702127659,0.0089336199390046,0.0291925663177976,6.886095529254344e-05
gap_edge,beta,unsure_sensitivity,617,159,1563.540946,1707.5597235,0.3834482788009984,0.5309600832828498,0.5448275862068965,0.4968553459119497,0.519736842105263,79,66,80,0.2350081037277147,0.5850891410048622,0.179902755267423,0,,,,,
