model,model_label,raw_rmse_MW,m9_pbm_corrected_rmse_MW,manually_corrected_rmse_MW,m9_rmse_reduction_vs_raw_MW,m9_rmse_reduction_vs_raw_pct,remaining_gap_to_manual_rmse_MW
linear_regression,Linear regression,4.716049607401454,3.1365603316997754,3.06855123198523,1.579489275701679,33.49178671112364,0.0680090997145455
seasonal_naive,Seasonal naive,4.808065762366514,3.8149465349565537,3.6669642746462947,0.9931192274099603,20.65527545782049,0.14798226031025896
xgboost,XGBoost,4.4248775544088454,4.023179011708748,2.6362786578400295,0.40169854270009786,9.078184373708934,1.3869003538687181
