method,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m7,beta_unsure,617,159,1563.540946,2790.7585055,0.2519957864262388,0.3140410693984356,0.2727272727272727,0.7169811320754716,0.39514731369150774,114,304,45,0.6774716369529984,0.3225283630470016,0.0,0,,,8,0.33879781420765026,0.5326460481099656,0.4141616566466266,1240,2420,1088,0.4566999990103142,2.956140350877193,3.1315789473684212,1914.3457199999998,418,-2.7176157727272727,-1135.963393,159,-2.4692076352201258
m7,beta_all,2922,629,11459.6866955,23747.037781,0.2742562927902929,0.3190920562127016,0.2236842105263158,0.7837837837837838,0.3480409459936463,493,1711,136,0.7542778918548939,0.2457221081451061,0.0,470,0.8063829787234043,0.0,8,0.43819193173840254,0.6666666666666666,0.5288060479666319,8114,10403,4057,0.5977579210549793,2.1480730223123734,2.3225152129817443,16169.5466665,2204,-4.84423671370236,-10676.697717000001,629,-3.107782995230525
m8,beta_unsure,617,159,1563.540946,731.9380515,0.24619766676768468,0.6195780121973888,0.504950495049505,0.32075471698113206,0.39230769230769236,51,50,108,0.16369529983792544,0.8363047001620746,0.0,0,,,8,0.5,0.2701890034364261,0.35080870050195206,629,629,1699,0.20450333215045094,4.098039215686274,2.7058823529411766,278.44532849999996,100,-2.14934701,-214.93470100000002,159,-2.4692076352201258
m8,beta_all,2922,629,11459.6866955,4610.278272,0.3201573939848272,0.8453286998247381,0.7291666666666666,0.4451510333863275,0.5528134254689042,280,104,349,0.13141683778234087,0.8685831622176592,0.0,470,0.48723404255319147,0.0,8,0.739098704615946,0.3328403582285761,0.45898481758440973,4051,1430,8120,0.298581810473201,3.817857142857143,2.6678571428571427,713.0777344999999,383,-2.485641467362924,-952.000682,629,-3.107782995230525
m9,beta_unsure,617,159,1563.540946,1704.2250135000002,0.3858118429140458,0.5338205584904706,0.5524475524475524,0.4968553459119497,0.5231788079470198,79,64,80,0.23176661264181522,0.5883306320907618,0.17990275526742303,0,,,8,0.47481507573089116,0.5790378006872853,0.521772788852332,1348,1491,980,0.38936469622942643,2.7974683544303796,2.050632911392405,794.474665,143,-2.4494457832167833,-350.27074700000003,159,-2.4692076352201258
m9,beta_all,2922,629,11459.6866955,11677.88853,0.8011611764408731,0.8812940472124887,0.8547008547008547,0.794912559618442,0.8237232289950577,500,85,129,0.2002053388090349,0.7279260780287474,0.07186858316221766,470,0.8957446808510638,0.05319148936170213,8,0.7910833840535606,0.8543258565442445,0.8214892356310488,10398,2746,1773,0.7000603070978593,1.44,1.358,1386.2348845000001,585,-3.1278068051282046,-1829.7669809999998,629,-3.107782995230525
