regime,heldout_substation,training_alpha_substations,training_beta_substations,training_beta_confidence,dataset_balanced,training_rows,threshold,macro_precision,macro_recall,macro_f1,pooled_precision,pooled_recall,pooled_f1,tp,fp,fn,tn
beta_only,beta_A,0,7,sure_only,False,1973,0.5342624187469482,0.6100748239824523,0.7383369832781597,0.6593031269283907,0.8111332007952287,0.9168539325842696,0.8607594936708861,408.0,95.0,37.0,1433.0
beta_only,beta_B,0,7,sure_only,False,2079,0.6006872653961182,0.6472815281989441,0.6770617337844229,0.6482945543910783,0.8397790055248618,0.8786127167630058,0.8587570621468926,304.0,58.0,42.0,1675.0
beta_only,beta_C,0,7,sure_only,False,1971,0.5998931527137756,0.7870664744355034,0.7810617337844229,0.7675606094369498,0.8681318681318682,0.8386411889596603,0.8531317494600432,395.0,60.0,76.0,1440.0
beta_only,beta_D,0,7,sure_only,False,2122,0.5998931527137756,0.6902922808871162,0.6477284004510895,0.6554110767266694,0.8982188295165394,0.8286384976525821,0.8620268620268621,353.0,40.0,73.0,1656.0
beta_only,beta_E,0,7,sure_only,False,2002,0.5998931527137756,0.6636898510588799,0.6518100331041508,0.6413147622608701,0.8683602771362586,0.8355555555555556,0.8516421291053228,376.0,57.0,74.0,1495.0
beta_only,beta_F,0,7,sure_only,False,2023,0.5998931527137756,0.6559740374607134,0.6459967987194878,0.6345115689252228,0.8385964912280702,0.7810457516339869,0.8087986463620981,239.0,46.0,67.0,1671.0
beta_only,beta_G,0,7,sure_only,False,2027,0.5998931527137756,0.6628428719510312,0.680221397649969,0.6562433552625528,0.8678756476683938,0.8678756476683938,0.8678756476683938,335.0,51.0,51.0,1590.0
beta_only,beta_H,0,7,sure_only,False,1973,0.5998931527137756,0.7156379030069319,0.7453474480701371,0.7199415618179021,0.869757174392936,0.8436830835117773,0.8565217391304347,394.0,59.0,73.0,1447.0
beta_plus_alpha,beta_A,10,7,sure_only,True,12616,0.5287922620773315,0.6482219602212007,0.6316076735619062,0.6247842653377726,0.9605866177818515,0.81282316442606,0.8805489427251085,3144.0,129.0,724.0,8619.0
beta_plus_alpha,beta_B,10,7,sure_only,True,12722,0.5287922620773315,0.6118871560292537,0.641321959276192,0.6047051299217212,0.9515226848974518,0.8124170867604139,0.8764849005295549,3062.0,156.0,707.0,8797.0
beta_plus_alpha,beta_C,10,7,sure_only,True,12614,0.5287922620773315,0.6813852255273232,0.7030362449904776,0.6700804325851595,0.9522379092820666,0.8140729327170005,0.8777516267478888,3170.0,159.0,724.0,8561.0
beta_plus_alpha,beta_D,10,7,sure_only,True,12765,0.5287922620773315,0.643519476818201,0.6331949751492078,0.6209732897280166,0.9630314232902033,0.8121590023382697,0.881183932346723,3126.0,120.0,723.0,8796.0
beta_plus_alpha,beta_E,10,7,sure_only,True,12645,0.5287922620773315,0.6329981287531297,0.6316076735619062,0.6123881248928518,0.9548211036992117,0.8130648076426543,0.8782596569516106,3149.0,149.0,724.0,8623.0
beta_plus_alpha,beta_F,10,7,sure_only,True,12666,0.5287922620773315,0.6181984123405101,0.6333392752935079,0.60379801183588,0.9561487130600572,0.8069187449718423,0.8752181500872601,3009.0,138.0,720.0,8799.0
beta_plus_alpha,beta_G,10,7,sure_only,True,12670,0.5287922620773315,0.6259141009072625,0.6416917071753515,0.6118202570065482,0.9573415765069552,0.813074297715936,0.8793299261783077,3097.0,138.0,712.0,8723.0
beta_plus_alpha,beta_H,10,7,sure_only,True,12616,0.551091730594635,0.6673671948523103,0.648445092176467,0.6391413153917102,0.9597737272155877,0.7850899742930592,0.8636877828054299,3054.0,128.0,836.0,8598.0
alpha_only,all_beta,10,0,not_used,False,10643,0.4551512897014618,0.6691404679484406,0.5827633787193269,0.6213733356302422,0.9655837889996783,0.8770084721004966,0.9191671769748928,3002.0,107.0,421.0,7113.0
