confidence_scope,interval_scope,aggregation,substation_id,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou
beta_sure,full_day,pooled,,9900.6425385,8678.907037,8074.547292,10505.0022835,0.9303645329505791,0.8155579055198712,0.8691865493496715,0.7686383185925179
beta_sure,full_day,substation,beta_A,754.99691,847.909608,746.4229634999999,856.4835545000001,0.8803095948642675,0.9886437329922316,0.9313368622785773,0.8714971345080273
beta_sure,full_day,substation,beta_B,4769.172183500001,3715.787426499999,3496.1313009999994,4988.828309,0.9408857126935004,0.7330687940132743,0.8240772995264735,0.7007920666848507
beta_sure,full_day,substation,beta_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
beta_sure,full_day,substation,beta_D,475.143817,451.2651155,437.778601,488.63033149999995,0.9701139883479427,0.9213601973484167,0.9451087649135983,0.8959300575060597
beta_sure,full_day,substation,beta_E,87.1145895,98.7414315,84.4090665,101.4469545,0.8548495319312845,0.9689429403785459,0.9083274896969843,0.8320512618247203
beta_sure,full_day,substation,beta_F,1582.522433,1615.1655300000002,1504.7853635000001,1692.9025995000002,0.9316601521950508,0.9508777456300362,0.9411708590154267,0.888878878173168
beta_sure,full_day,substation,beta_G,2201.5129779999997,1898.5585005,1799.8271559999998,2300.2443225,0.947996680389886,0.8175410156496474,0.8779491603685221,0.7824504285892003
beta_sure,full_day,substation,beta_H,30.179627500000002,51.479425,5.1928405,76.46621200000001,0.1008721542635723,0.17206443320084053,0.12718346199277783,0.06791026211681571
beta_sure,daytime_06_18,pooled,,9900.6425385,8678.907037,8074.547291999999,10505.0022835,0.930364532950579,0.8155579055198711,0.8691865493496715,0.7686383185925177
beta_sure,daytime_06_18,substation,beta_A,754.9969100000001,847.909608,746.4229635,856.4835545000001,0.8803095948642676,0.9886437329922316,0.9313368622785774,0.8714971345080275
