cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,35416.0449605,0.8670710507862358,0.884477307811667,0.9757097791798107,0.9148181011535049,0.9442833155243474,3093,77,288,0.3040767386091127,0.6761630695443646,0.019760191846522782,3381,0.9148181011535049,0.03637976929902396,0.021582874979768362,0.023184088614855575,0.00017877911883923403
beta,headline,2305,470,9896.145749500001,10044.861631000002,0.8825882399816908,0.9306918921758514,0.9545454545454546,0.8936170212765957,0.9230769230769231,420,20,50,0.19088937093275488,0.7683297180043384,0.040780911062906725,470,0.8936170212765957,0.059574468085106386,0.006581299503248134,0.02498374277399538,0.0004058473347164915
beta,unsure_sensitivity,617,159,1563.540946,1639.9204015,0.4052423344542907,0.5633266572908112,0.5827338129496403,0.5094339622641509,0.5436241610738255,81,58,78,0.2252836304700162,0.6045380875202593,0.17017828200972449,0,,,,,
