feature_number,feature,paired_comparisons,mean_paired_delta_f1,median_paired_delta_f1,positive_paired_delta_pct
1,F1_bridge_improvement,255,0.18995855178692767,0.17584201693790735,100.0
2,F2_roughness_improvement,255,0.0853287720884433,0.03759001599202161,89.80392156862746
3,F3_slope_continuity_improvement,255,-0.020436751290744844,-0.008534952094906734,41.17647058823529
4,F4_duration_plausibility,255,0.017391720867741538,0.01753300950433101,81.17647058823529
5,F5_n_height_ratio,255,0.00969120516289865,0.008875035050722735,63.52941176470588
6,F6_solar_strength_ratio,255,0.020407622093008997,0.012138750790123498,77.25490196078432
7,F7_solar_peak_alignment,255,0.008779916846911725,0.006850968640526811,62.35294117647059
8,F8_substation_centered_core_score,255,0.01661684308000007,0.002535870446853883,54.11764705882353
9,F9_substation_rank_core_score,255,-0.0174263806968489,-0.02928679964770664,25.882352941176475
