method,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m7,beta_unsure,617,159,1563.540946,2790.7585055,0.2519957864262388,0.3140410693984356,0.2727272727272727,0.7169811320754716,0.39514731369150774,114,304,45,0.6774716369529984,0.3225283630470016,0.0,0,,,8,0.33879781420765026,0.5326460481099656,0.4141616566466266,1240,2420,1088,0.4566999990103142,2.956140350877193,3.1315789473684212,1914.3457199999998,418,-2.7176157727272727,-1135.963393,159,-2.4692076352201258
m7,beta_all,2922,629,11459.6866955,23747.037781,0.2742562927902929,0.3190920562127016,0.2236842105263158,0.7837837837837838,0.3480409459936463,493,1711,136,0.7542778918548939,0.2457221081451061,0.0,470,0.8063829787234043,0.0,8,0.43819193173840254,0.6666666666666666,0.5288060479666319,8114,10403,4057,0.5977579210549793,2.1480730223123734,2.3225152129817443,16169.5466665,2204,-4.84423671370236,-10676.697717000001,629,-3.107782995230525
m8,beta_unsure,617,159,1563.540946,687.994001,0.2563292683860506,0.6677113540703677,0.35555555555555557,0.4025157232704403,0.37758112094395285,64,116,95,0.2917341977309562,0.7082658022690438,0.0,0,,,8,0.34945705824284307,0.30412371134020616,0.3252181901699586,708,1318,1620,0.23156930440374857,4.5,2.84375,228.612595,136,-1.6507310441176468,-224.49942199999998,159,-2.4692076352201258
m8,beta_all,2922,629,11459.6866955,4385.1945085,0.32702014762527504,0.8904245377101041,0.632016632016632,0.48330683624801274,0.5477477477477477,304,177,325,0.16461327857631758,0.8353867214236824,0.0,470,0.5106382978723404,0.0,8,0.6457455113192818,0.3398241722126366,0.4453057708871663,4136,2269,8035,0.2934343778931735,4.394736842105263,3.411184210526316,480.50971549999997,422,-2.2453388364928912,-947.532989,629,-3.107782995230525
m9,beta_unsure,617,159,1563.540946,1704.2250135000002,0.3858118429140458,0.5338205584904706,0.5524475524475524,0.4968553459119497,0.5231788079470198,79,64,80,0.23176661264181522,0.5883306320907618,0.17990275526742303,0,,,8,0.47481507573089116,0.5790378006872853,0.521772788852332,1348,1491,980,0.38936469622942643,2.7974683544303796,2.050632911392405,794.474665,143,-2.4494457832167833,-350.27074700000003,159,-2.4692076352201258
m9,beta_all,2922,629,11459.6866955,11677.88853,0.8011611764408731,0.8812940472124887,0.8547008547008547,0.794912559618442,0.8237232289950577,500,85,129,0.2002053388090349,0.7279260780287474,0.07186858316221766,470,0.8957446808510638,0.05319148936170213,8,0.7910833840535606,0.8543258565442445,0.8214892356310488,10398,2746,1773,0.7000603070978593,1.44,1.358,1386.2348845000001,585,-3.1278068051282046,-1829.7669809999998,629,-3.107782995230525
