method,group,metric,point,ci_low,ci_high,draws
m7,combined,energy_iou,0.29858852627578164,0.13079910002791503,0.4794316250536432,1000
m7,combined,energy_precision,0.3179465714830568,0.136314535746928,0.5313832768000925,1000
m7,combined,day_f1,0.6028414594769131,0.3948057734795784,0.7293698897214325,1000
m7,combined,day_precision,0.43739018390535317,0.25300376534175595,0.5807283668371148,1000
m7,alpha,energy_iou,0.30410480090713804,0.09321929850771025,0.504308544332322,1000
m7,alpha,energy_precision,0.3175164851414568,0.09443946857933122,0.5423538830923206,1000
m7,alpha,day_f1,0.6622581918673509,0.42611345244615784,0.7897276347228679,1000
m7,alpha,day_precision,0.4969634128277292,0.2714209024970614,0.6559672930803869,1000
m7,beta,energy_iou,0.2774618911876184,0.12112379877041544,0.42785911896593154,1000
m7,beta,energy_precision,0.31976469872847296,0.1241881581477245,0.5293152333866176,1000
m7,beta,day_f1,0.33599290780141844,0.1387400502277274,0.526113748737069,1000
m7,beta,day_precision,0.2122060470324748,0.07720071517058699,0.3822409596125408,1000
m8,combined,energy_iou,0.7322498593682089,0.5210245504295704,0.8452161754773462,1000
m8,combined,energy_precision,0.9559149314009736,0.9284386137998969,0.9686279944036774,1000
m8,combined,day_f1,0.8437998549673676,0.7912655615907077,0.8783374753222154,1000
m8,combined,day_precision,0.9556504599211564,0.9049705289108023,0.9822988272237139,1000
m8,alpha,energy_iou,0.8521200762003168,0.823067011561267,0.8624296846674979,1000
m8,alpha,energy_precision,0.9589239926161742,0.9271244261090141,0.971659803926347,1000
m8,alpha,day_f1,0.8716525146962769,0.8442481532137803,0.8976582827406765,1000
m8,alpha,day_precision,0.9730222384250821,0.9396454809770279,0.9917415338626299,1000
m8,beta,energy_iou,0.33950422077789266,0.0924474076562823,0.78835032541592,1000
m8,beta,energy_precision,0.9318681472673687,0.9042916750623888,0.9904709401223653,1000
m8,beta,day_f1,0.622568093385214,0.3869921396488363,0.8174474420723769,1000
m8,beta,day_precision,0.7973421926910299,0.6279694264069264,0.9397268526159432,1000
m9,combined,energy_iou,0.8749280329595823,0.8503584529198515,0.8863484212783281,1000
m9,combined,energy_precision,0.900083107767661,0.8783929145008889,0.9125039203912857,1000
m9,combined,day_f1,0.9376262966455611,0.9186466360945781,0.9497157905794436,1000
m9,combined,day_precision,0.9742441209406495,0.9604692278287462,0.9838365422276628,1000
m9,alpha,energy_iou,0.8692058067623027,0.8224772097794494,0.8844749322280513,1000
m9,alpha,energy_precision,0.8885742368962344,0.8454953791847116,0.9019458207233495,1000
m9,alpha,day_f1,0.9396406082015051,0.9173041698677465,0.953102873150848,1000
m9,alpha,day_precision,0.9773162939297124,0.9653316221289214,0.9882749714057266,1000
m9,beta,energy_iou,0.8945449477456121,0.8752513128195545,0.9282287787279812,1000
m9,beta,energy_precision,0.940667717682573,0.9181594563330201,0.9657539970868043,1000
m9,beta,day_f1,0.9232456140350876,0.8865512740480108,0.9460043196544277,1000
m9,beta,day_precision,0.9524886877828054,0.917312175788308,0.9940837104072398,1000
