rank,dataset,substation_id,total_days,rpf_days,rpf_day_pct,rpf_intervals
1,Alpha,alpha_F,1063,856,80.52681091251176,14105
2,Alpha,alpha_E,1063,712,66.98024459078081,9965
3,Alpha,alpha_G,1063,656,61.71213546566322,9557
4,Alpha,alpha_C,1065,632,59.34272300469483,7984
5,Alpha,alpha_J,1065,389,36.52582159624413,4329
6,Alpha,alpha_I,1064,151,14.191729323308271,1898
7,Alpha,alpha_B,1065,27,2.535211267605634,142
8,Alpha,alpha_A,1065,0,0.0,0
9,Alpha,alpha_D,1065,0,0.0,0
10,Alpha,alpha_H,1065,0,0.0,0
