rank,dataset,substation_id,total_days,rpf_days,rpf_day_pct,rpf_intervals
1,Alpha,syn_F,1063,856,80.52681091251176,14105
2,Alpha,syn_E,1063,712,66.98024459078081,9965
3,Alpha,syn_G,1063,656,61.71213546566322,9557
4,Alpha,syn_C,1065,632,59.34272300469483,7984
5,Alpha,syn_J,1065,389,36.52582159624413,4329
6,Alpha,syn_I,1064,151,14.191729323308271,1898
7,Alpha,syn_B,1065,27,2.535211267605634,142
8,Alpha,syn_A,1065,0,0.0,0
9,Alpha,syn_D,1065,0,0.0,0
10,Alpha,syn_H,1065,0,0.0,0
