rank,substation_id,rpf_days,rpf_intervals,data_error_rmse_MW,data_error_mae_MW,max_raw_flagged_MW,mean_raw_flagged_MW,min_reference_net_load_MW,raw_reference_error_MW_sum
1,act_B,130,2496,2.00425035805856,0.47143854492305043,8.245311,3.295253435096154,-8.245311,16449.905147999998
2,act_G,106,2478,1.15967944843048,0.28155118956224157,4.292155,1.9920485193704602,-4.292155,9872.592462
3,act_A,33,498,0.8625570831165984,0.09023201035911602,8.208509,3.161031072580645,-8.208509,3135.742824
4,act_D,96,1529,0.6261001145723922,0.08609181295143213,5.162345,1.354196391772772,-5.162345,2765.269032
5,act_F,118,2746,0.600972353194577,0.1443270227377389,2.221656,0.9130550032774947,-2.221656,5014.4980780000005
6,act_E,60,682,0.15196713485508256,0.019341564013443256,1.272793,0.49364946334310855,-1.272793,673.3378680000001
7,act_H,11,134,0.11549262268881108,0.006686657836013046,1.879562,0.872109843283582,-1.879562,233.725438
8,act_C,3,41,0.07344287748210862,0.002415601654071011,1.795029,1.0329642926829268,-1.795029,84.703072
