variant,cohort,n_days,n_rpf,energy_iou,energy_precision,day_f1,day_precision,sure_day_recall,rate_uncertain,fp,fn
within (frozen),alpha,10425,3381,0.8692058067623027,0.8885742368962344,0.9396406082015051,0.9773162939297124,0.9047619047619048,0.026091127098321343,71,322
within (frozen),beta,2305,470,0.8945449477456121,0.940667717682573,0.9232456140350876,0.9524886877828054,0.8957446808510638,0.04295010845986985,21,49
pooled 17,alpha,10425,3381,0.8749272454164037,0.8970597079070076,0.9136038186157517,0.9886363636363636,0.8491570541259982,0.024556354916067145,33,510
pooled 17,beta,2305,470,0.8797751321428238,0.8929464247874772,0.8507877664504171,0.7536945812807881,0.9765957446808511,0.04121475054229935,150,11
"pooled 17, cohort-balanced",alpha,10425,3381,0.6264798435168787,0.9836818449607607,0.4230410447761194,1.0,0.26826382727003845,0.20498800959232613,0,2474
"pooled 17, cohort-balanced",beta,2305,470,0.5695965308041021,0.9826531899210599,0.5991058122205664,1.0,0.4276595744680851,0.19739696312364424,0,269
