fold_id,cohort,held_out,candidate,n_train,intercept,coef_0,coef_1,null_n,null_max_r
alpha_alpha_A,alpha,alpha_A,R0,9356,-0.0913729133029268,3.2025885227384814,,,
alpha_alpha_A,alpha,alpha_A,B1,11644,-1.2502709868388695,2.0159406459922597,,,
alpha_alpha_A,alpha,alpha_A,B2,11644,-1.2250011342592377,0.61326043965213,,,
alpha_alpha_A,alpha,alpha_A,B3,11644,-6.059583169472272,2.8628328710565283,5.78286503349262,,
alpha_alpha_A,alpha,alpha_A,C1,11644,0.04760604617673872,3.9912035800573675,,,
alpha_alpha_A,alpha,alpha_A,C2,11644,-0.82845876114965,2.4669868041236844,-0.6517810118133528,,
alpha_alpha_A,alpha,alpha_A,C3,11644,-0.056317303148822453,3.891622376587596,-2.7057207440680466,,
alpha_alpha_A,alpha,alpha_A,C4,11644,-4.116925726177421,0.595236797964506,,7761.0,0.0
alpha_alpha_A,alpha,alpha_A,D1,11644,-3.3900677491247317,0.5345618344145965,,,
alpha_alpha_B,alpha,alpha_B,R0,9342,-0.08016264333854684,3.1400105594132213,,,
alpha_alpha_B,alpha,alpha_B,B1,11630,-1.2383701864949859,1.9970705579179164,,,
alpha_alpha_B,alpha,alpha_B,B2,11630,-1.2210942703985257,0.6129300024448688,,,
alpha_alpha_B,alpha,alpha_B,B3,11630,-5.959521869138985,2.8173990881197666,5.7037176235458835,,
alpha_alpha_B,alpha,alpha_B,C1,11630,0.05381784430661068,3.9569177215308295,,,
alpha_alpha_B,alpha,alpha_B,C2,11630,-0.8220928995793773,2.4344384320076333,-0.6378831773925229,,
alpha_alpha_B,alpha,alpha_B,C3,11630,-0.07507134182131299,3.819021269492459,-2.626381922332852,,
alpha_alpha_B,alpha,alpha_B,C4,11630,-4.159944012154786,0.5988163915816151,,7769.0,0.0
alpha_alpha_B,alpha,alpha_B,D1,11630,-3.40812875923467,0.5229761339211584,,,
alpha_alpha_C,alpha,alpha_C,R0,9342,-0.0010913617438397909,3.463291551697335,,,
alpha_alpha_C,alpha,alpha_C,B1,11630,-1.442463164067887,2.0114752904049884,,,
alpha_alpha_C,alpha,alpha_C,B2,11630,-1.3347616524232515,0.6041371079779656,,,
alpha_alpha_C,alpha,alpha_C,B3,11630,-6.289509342217418,2.9677246004933906,5.9965127106427465,,
alpha_alpha_C,alpha,alpha_C,C1,11630,-0.07405421283498187,3.980184551623252,,,
alpha_alpha_C,alpha,alpha_C,C2,11630,-1.0741010566848492,2.380432880520573,-0.5417384834571928,,
alpha_alpha_C,alpha,alpha_C,C3,11630,-0.25809091124173805,3.7807746616454123,-2.558408082447013,,
alpha_alpha_C,alpha,alpha_C,C4,11630,-4.551960128226539,0.6188672515410836,,8335.0,0.0
alpha_alpha_C,alpha,alpha_C,D1,11630,-3.7275318604724124,0.5289335445380748,,,
alpha_alpha_D,alpha,alpha_D,R0,9361,-0.08392994691793498,3.147032795415094,,,
alpha_alpha_D,alpha,alpha_D,B1,11649,-1.2278390673181256,1.9999532556389235,,,
alpha_alpha_D,alpha,alpha_D,B2,11649,-1.21726797143046,0.6126892478181888,,,
alpha_alpha_D,alpha,alpha_D,B3,11649,-5.973720465880254,2.823841937781154,5.715211089060813,,
alpha_alpha_D,alpha,alpha_D,C1,11649,0.05631887831149998,3.9636887890550745,,,
alpha_alpha_D,alpha,alpha_D,C2,11649,-0.8120710612890386,2.4400638430380566,-0.6405038609948304,,
alpha_alpha_D,alpha,alpha_D,C3,11649,-0.06363653034605636,3.840477468786587,-2.650612490838223,,
alpha_alpha_D,alpha,alpha_D,C4,11649,-4.117796633746941,0.5952867922153393,,7766.0,0.0
alpha_alpha_D,alpha,alpha_D,D1,11649,-3.4050548018922484,0.5208869849557214,,,
alpha_alpha_E,alpha,alpha_E,R0,9362,-0.1671589526045359,3.2554469069926744,,,
alpha_alpha_E,alpha,alpha_E,B1,11650,-1.4383841188639905,1.9901039775953426,,,
alpha_alpha_E,alpha,alpha_E,B2,11650,-1.3459892338334267,0.6001121723213894,,,
alpha_alpha_E,alpha,alpha_E,B3,11650,-6.077123278828545,2.869797419484152,5.693929641610327,,
alpha_alpha_E,alpha,alpha_E,C1,11650,-0.10198047691679231,3.9367666251606734,,,
alpha_alpha_E,alpha,alpha_E,C2,11650,-1.0397865515407925,2.390560547073003,-0.589529107441462,,
alpha_alpha_E,alpha,alpha_E,C3,11650,-0.24514399205654075,3.8027286180902227,-2.6122437618796384,,
alpha_alpha_E,alpha,alpha_E,C4,11650,-4.511752888896045,0.6100603493574144,,8422.0,0.0
alpha_alpha_E,alpha,alpha_E,D1,11650,-3.6771911592545004,0.5189856363556186,,,
alpha_alpha_F,alpha,alpha_F,R0,9364,-0.20760686558898084,3.197249942919691,,,
alpha_alpha_F,alpha,alpha_F,B1,11652,-1.4433958386991799,1.9878269189650102,,,
alpha_alpha_F,alpha,alpha_F,B2,11652,-1.3635601880894095,0.5946086149976845,,,
alpha_alpha_F,alpha,alpha_F,B3,11652,-6.008603218151892,2.8387976370615333,5.5952900965605235,,
alpha_alpha_F,alpha,alpha_F,C1,11652,-0.12459131302416507,3.8806600156892683,,,
alpha_alpha_F,alpha,alpha_F,C2,11652,-0.9672170249791899,2.474548484410684,-0.7178044671526911,,
alpha_alpha_F,alpha,alpha_F,C3,11652,-0.24402871260595357,3.7789403606577023,-2.6011262827867734,,
alpha_alpha_F,alpha,alpha_F,C4,11652,-4.470000576035195,0.6028578978306954,,8573.0,0.0
alpha_alpha_F,alpha,alpha_F,D1,11652,-3.718856428957667,0.5122718979469308,,,
alpha_alpha_G,alpha,alpha_G,R0,9360,0.04283789198881941,3.4663855510706054,,,
alpha_alpha_G,alpha,alpha_G,B1,11648,-1.3928093962359032,1.998027103798799,,,
alpha_alpha_G,alpha,alpha_G,B2,11648,-1.3345694448176628,0.6012393977261515,,,
alpha_alpha_G,alpha,alpha_G,B3,11648,-6.311575372785172,2.978428920686938,6.068642168629976,,
alpha_alpha_G,alpha,alpha_G,C1,11648,-0.06376235051962731,3.9444556379500364,,,
alpha_alpha_G,alpha,alpha_G,C2,11648,-0.9012204640700263,2.4992204760348584,-0.7380148873418706,,
alpha_alpha_G,alpha,alpha_G,C3,11648,-0.18149725732916183,3.824842419939844,-2.6422902998261333,,
alpha_alpha_G,alpha,alpha_G,C4,11648,-4.447849765163631,0.6095253762316138,,8391.0,0.0
alpha_alpha_G,alpha,alpha_G,D1,11648,-3.6144366630375826,0.5270345080314607,,,
alpha_alpha_H,alpha,alpha_H,R0,9356,-0.09151287064815129,3.1849247666867524,,,
alpha_alpha_H,alpha,alpha_H,B1,11644,-1.243406618953173,2.0101364058020086,,,
alpha_alpha_H,alpha,alpha_H,B2,11644,-1.2217874444648438,0.613018266496789,,,
alpha_alpha_H,alpha,alpha_H,B3,11644,-6.030414796282577,2.849516733519971,5.756955411533792,,
alpha_alpha_H,alpha,alpha_H,C1,11644,0.049438552671850336,3.984410638825803,,,
alpha_alpha_H,alpha,alpha_H,C2,11644,-0.8250388876462125,2.454882668878943,-0.6448273460632692,,
alpha_alpha_H,alpha,alpha_H,C3,11644,-0.05962513878099193,3.871537315200215,-2.6831709693575485,,
alpha_alpha_H,alpha,alpha_H,C4,11644,-4.116924962336391,0.5952366853161798,,7761.0,0.0
alpha_alpha_H,alpha,alpha_H,D1,11644,-3.399005971581653,0.5208872215969768,,,
alpha_alpha_I,alpha,alpha_I,R0,9353,-0.056947396497036964,3.179366295103319,,,
alpha_alpha_I,alpha,alpha_I,B1,11641,-1.26343595983551,1.9977373266114822,,,
alpha_alpha_I,alpha,alpha_I,B2,11641,-1.24099214595962,0.6109233804458781,,,
alpha_alpha_I,alpha,alpha_I,B3,11641,-6.004371911032795,2.838015134255351,5.758650090109375,,
alpha_alpha_I,alpha,alpha_I,C1,11641,0.035900296218206694,3.938631807187553,,,
alpha_alpha_I,alpha,alpha_I,C2,11641,-0.836272898933951,2.438004326943381,-0.6481214535303607,,
alpha_alpha_I,alpha,alpha_I,C3,11641,-0.104609938897887,3.778923011352824,-2.580578857260062,,
alpha_alpha_I,alpha,alpha_I,C4,11641,-4.227209523978758,0.6016988125351836,,7893.0,0.0
alpha_alpha_I,alpha,alpha_I,D1,11641,-3.442814223911878,0.5262066653737009,,,
alpha_alpha_J,alpha,alpha_J,R0,9341,-0.1073368665371887,3.211319321300811,,,
alpha_alpha_J,alpha,alpha_J,B1,11629,-1.370550687992963,2.0001173112056283,,,
alpha_alpha_J,alpha,alpha_J,B2,11629,-1.2879993968439607,0.6085485224814816,,,
alpha_alpha_J,alpha,alpha_J,B3,11629,-6.026938570847577,2.8477026810758566,5.712757794036706,,
alpha_alpha_J,alpha,alpha_J,C1,11629,-0.021793103520630026,3.9577432264861363,,,
alpha_alpha_J,alpha,alpha_J,C2,11629,-0.9673160079223122,2.406368923059675,-0.5956255005376947,,
alpha_alpha_J,alpha,alpha_J,C3,11629,-0.23020279818777986,3.7152600130378555,-2.4872445730523616,,
alpha_alpha_J,alpha,alpha_J,C4,11629,-4.444334142316326,0.6143937865987993,,8095.0,0.0
alpha_alpha_J,alpha,alpha_J,D1,11629,-3.573394478480889,0.5289256035911621,,,
beta_beta_A,beta,beta_A,R0,1954,-4.274195383769826,2.0584394420931145,,,
beta_beta_A,beta,beta_A,B1,12347,-1.145507912589762,2.103004068339114,,,
beta_beta_A,beta,beta_A,B2,12347,-1.239388087301837,0.6130003696457487,,,
beta_beta_A,beta,beta_A,B3,12347,-6.033785512036285,2.8843230102259696,5.749319691093722,,
beta_beta_A,beta,beta_A,C1,12347,0.20199602179144646,4.1519484341030815,,,
beta_beta_A,beta,beta_A,C2,12347,-0.5772338317639826,2.7009859012312565,-0.8598963184300932,,
beta_beta_A,beta,beta_A,C3,12347,0.28493807689565653,4.313192835367606,-3.2172171114480874,,
beta_beta_A,beta,beta_A,C4,12347,-4.2355750358726665,0.6225644262375607,,8556.0,0.0
beta_beta_A,beta,beta_A,D1,12347,-3.545976959587731,0.5601606056789746,,,
beta_beta_B,beta,beta_B,R0,2058,-5.193238151954853,2.28566356245713,,,
beta_beta_B,beta,beta_B,B1,12451,-1.260486042148717,2.0436054595507414,,,
beta_beta_B,beta,beta_B,B2,12451,-1.3426367441297289,0.5958381660663318,,,
beta_beta_B,beta,beta_B,B3,12451,-6.608419449492105,2.950214762138318,6.356265163573679,,
beta_beta_B,beta,beta_B,C1,12451,0.046598250931828296,3.9763612551678507,,,
beta_beta_B,beta,beta_B,C2,12451,-0.7783923931926314,2.5424906262963174,-0.7329053079436102,,
beta_beta_B,beta,beta_B,C3,12451,-0.026821210001677507,3.9363961960270992,-2.7634116849105936,,
beta_beta_B,beta,beta_B,C4,12451,-4.2753356741460955,0.6036273677212326,,8696.0,0.0
beta_beta_B,beta,beta_B,D1,12451,-3.533033764096616,0.5342105288420941,,,
beta_beta_C,beta,beta_C,R0,1951,-4.550218570775238,2.1468051723532535,,,
beta_beta_C,beta,beta_C,B1,12344,-1.2452513370027287,2.022311300099629,,,
beta_beta_C,beta,beta_C,B2,12344,-1.243038122442346,0.6112506267203013,,,
beta_beta_C,beta,beta_C,B3,12344,-6.127356111739319,2.8957429810003443,5.8496375247467824,,
beta_beta_C,beta,beta_C,C1,12344,0.06421205855442848,3.965282131474938,,,
beta_beta_C,beta,beta_C,C2,12344,-0.8014758021902956,2.479574315234106,-0.6722949789112934,,
beta_beta_C,beta,beta_C,C3,12344,-0.0390319253804871,3.870834792078831,-2.689983819645272,,
beta_beta_C,beta,beta_C,C4,12344,-4.227517761150358,0.6013004381846621,,8462.0,0.0
beta_beta_C,beta,beta_C,D1,12344,-3.496730686502358,0.5302620824714118,,,
beta_beta_D,beta,beta_D,R0,2105,-4.450263771780001,2.123041972886491,,,
beta_beta_D,beta,beta_D,B1,12498,-1.1481290218089806,2.152228752786227,,,
beta_beta_D,beta,beta_D,B2,12498,-1.2718957420933932,0.6109871453880477,,,
beta_beta_D,beta,beta_D,B3,12498,-6.093602542633216,2.9038190840441946,5.8179947038552795,,
beta_beta_D,beta,beta_D,C1,12498,0.18670839067270778,4.19717064955153,,,
beta_beta_D,beta,beta_D,C2,12498,-0.6063619843245815,2.720374152750588,-0.8243171162355335,,
beta_beta_D,beta,beta_D,C3,12498,0.2205896396079031,4.270352080396715,-3.1270525511440286,,
beta_beta_D,beta,beta_D,C4,12498,-4.277342794579308,0.6245286676949543,,8720.0,0.0
beta_beta_D,beta,beta_D,D1,12498,-3.528248989076034,0.5477440080991979,,,
beta_beta_E,beta,beta_E,R0,1983,-4.350841688949829,2.092573488942517,,,
beta_beta_E,beta,beta_E,B1,12376,-1.198800259353395,2.0832637015479416,,,
beta_beta_E,beta,beta_E,B2,12376,-1.2512962198857072,0.6115759198465913,,,
beta_beta_E,beta,beta_E,B3,12376,-5.994038283853593,2.884553092024715,5.708580561428199,,
beta_beta_E,beta,beta_E,C1,12376,0.11826425432623347,4.077531409310709,,,
beta_beta_E,beta,beta_E,C2,12376,-0.6934267188686757,2.6095387723317662,-0.7664607150092263,,
beta_beta_E,beta,beta_E,C3,12376,0.059041926277439656,4.025448623835635,-2.84897949773759,,
beta_beta_E,beta,beta_E,C4,12376,-4.242773392995191,0.610872457254024,,8542.0,0.0
beta_beta_E,beta,beta_E,D1,12376,-3.5785120585507,0.5581252804586144,,,
beta_beta_F,beta,beta_F,R0,2004,-4.370002466645964,2.075653436316142,,,
beta_beta_F,beta,beta_F,B1,12397,-1.1717720489294148,2.1518697591710025,,,
beta_beta_F,beta,beta_F,B2,12397,-1.338589161128541,0.5952454606823405,,,
