candidate,group,energy_iou_lo,energy_precision_lo,sure_day_recall_lo,energy_iou_hi,energy_precision_hi,sure_day_recall_hi
R0,combined,0.8510325558613784,0.8786500932474175,0.8762403584232745,0.8862497179176194,0.913434668476497,0.9206562854148402
R0,alpha,0.8237221499010747,0.8478340683862188,0.8728519543151952,0.8838606372051361,0.9009740114397644,0.9216323660196428
R0,beta,0.8752758042306498,0.9130457162442311,0.8283259454606665,0.9274899522824139,0.965684524101733,0.9423403691749906
B1,combined,0.8462652321292553,0.8678859350194148,0.8331993635616342,0.890604642765042,0.9104936923900261,0.8895600071200211
B1,alpha,0.8316051538914384,0.8588967748785751,0.8056322022735299,0.8876620521912298,0.9078017908958992,0.872363016921949
B1,beta,0.7958044720651369,0.8067561505610912,0.95578231292517,0.9196665694302457,0.9350934764357863,0.991724763855696
B2,combined,0.5745427232671996,0.9766599673906297,0.26617578768407835,0.6411910809337741,0.9886807476586047,0.3187587664708804
B2,alpha,0.5947608954656454,0.974883935818563,0.2476913375153706,0.6493332621400337,0.988715916396244,0.2883212042158453
B2,beta,0.5082721781463415,0.9725678517708068,0.3403114373616884,0.6596304720218333,0.9931679635666383,0.4838735525227461
B3,combined,0.8499775650066321,0.8783387455203631,0.8665878605140895,0.8874596290472565,0.9115498636915842,0.9164651800738759
B3,alpha,0.8300947686799736,0.8519590040263947,0.8612786489746683,0.884336136962347,0.901783180144888,0.9180578670478077
B3,beta,0.8524801176526988,0.8884705861165783,0.8391291854072964,0.9266614694140914,0.9601353682286744,0.941919480199881
C1,combined,0.8530855264579462,0.8755111552791363,0.859819800998275,0.8969467943055973,0.9173125491128847,0.9023010441907355
C1,alpha,0.8421591904169298,0.871081316959806,0.8355471711466459,0.8955718184193642,0.9165789772251928,0.8898999777008268
C1,beta,0.8200769693160014,0.8325505052386264,0.9490400622466706,0.916032458039544,0.9349020897429907,0.9950018472906403
C2,combined,0.8526941232467238,0.8739663650295144,0.8339147409548716,0.8960982798086324,0.9165582115248524,0.8831752226259407
C2,alpha,0.8447058027855034,0.8727532968345314,0.8101011343671558,0.8929165104372534,0.9143310918989612,0.8691926588651745
C2,beta,0.805032504505719,0.81874554954543,0.9455782312925171,0.9206598224898982,0.9372638915834743,0.991787098182612
C3,combined,0.8379829564295727,0.8563147415510166,0.8565780082018272,0.889818218725551,0.9076585214028156,0.9063012746789343
C3,alpha,0.8305559460305999,0.8566267057173333,0.829597027217821,0.8856441909482269,0.9042702008716941,0.8920509638481147
C3,beta,0.7822549296779668,0.7904125114637724,0.9735676992284922,0.9168932616051215,0.9315230623007132,1.0
C4,combined,0.8328286680810959,0.8503257585288231,0.9034440047606374,0.883929963756377,0.9012752270374526,0.9396758735132947
C4,alpha,0.824597075735966,0.847085120728616,0.8879310780345178,0.8817666101016551,0.8991361447445467,0.9310287946805252
C4,beta,0.7730212149426849,0.781058574799547,0.972516611295681,0.9131966288680317,0.9279628208377517,0.9987120211360634
D1,combined,0.8478402396935193,0.8730761586216412,0.7636188445922711,0.8957710162455786,0.9238112868062414,0.8420266439830649
D1,alpha,0.8394567156895196,0.868871344171701,0.742614622553606,0.890733415544028,0.9223335525381005,0.8214285714285714
D1,beta,0.8004809858574041,0.8129866529189519,0.8709592826528311,0.9215889225427171,0.9401716924945096,0.9860232597333192
N,combined,0.8471568964308804,0.8675349354582591,0.8610365659596717,0.897240082910164,0.9166492747398436,0.9045846417328447
N,alpha,0.8432196870272747,0.8706333325490566,0.8401821805524365,0.8954747285212652,0.9169946840126035,0.8896392163138913
N,beta,0.7844787393596945,0.7965167476321049,0.9694285884614812,0.9181047724675574,0.9326187669750392,0.9962848849738699
