cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,35583.6975915,0.864419401857051,0.8810505781863696,0.9745363093366866,0.9168884945282461,0.9448338921060652,3100,81,281,0.30513189448441247,0.6774100719424461,0.017458033573141487,3381,0.9168884945282461,0.03223898254954156,0.02317769410441504,0.023401982672743838,0.00013827626944568072
beta,headline,2305,470,9896.145749500001,10130.49764,0.8810082620432966,0.9259054978665392,0.9568181818181818,0.8957446808510638,0.9252747252747252,421,19,49,0.19088937093275488,0.7726681127982646,0.03644251626898048,470,0.8957446808510638,0.06170212765957447,0.006972842493477211,0.023494932468032328,0.0005529405320431058
beta,unsure_sensitivity,617,159,1563.540946,1611.6780895,0.40231445808668004,0.5652175213740164,0.5895522388059702,0.4968553459119497,0.5392491467576792,79,55,80,0.2171799027552674,0.6304700162074555,0.15235008103727715,0,,,,,
