cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,35416.0449605,0.8670710507862358,0.884477307811667,0.9757097791798107,0.9148181011535049,0.9442833155243474,3093,77,288,0.3040767386091127,0.6761630695443646,0.019760191846522782,3381,0.9148181011535049,0.03637976929902396,0.021582874979768362,0.023184088614855575,0.00017877911883923403
beta,headline,2305,470,9896.145749500001,9871.469661500001,0.8711355300865901,0.932294129808586,0.955503512880562,0.8680851063829788,0.9096989966555183,408,19,62,0.18524945770065077,0.7631236442516269,0.051626898047722344,470,0.8680851063829788,0.059574468085106386,0.018142329868598928,0.03239655515634113,0.0016080690831984934
beta,unsure_sensitivity,617,159,1563.540946,1587.568351,0.39617095403643904,0.5632161081044379,0.5789473684210527,0.48427672955974843,0.5273972602739725,77,56,82,0.21555915721231766,0.5899513776337115,0.19448946515397084,0,,,,,
