model,model_label,raw_rmse_MW,m9_corrected_rmse_MW,manually_corrected_rmse_MW,m9_rmse_reduction_vs_raw_MW,m9_rmse_reduction_vs_raw_pct,remaining_gap_to_manual_rmse_MW
linear_regression,Linear regression,4.716049607401454,3.115496529798218,3.06855123198523,1.6005530776032364,33.93842751550576,0.04694529781298806
seasonal_naive,Seasonal naive,4.808065762366514,3.610191918125474,3.6669642746462947,1.1978738442410402,24.913840688640054,-0.05677235652082091
xgboost,XGBoost,4.4248775544088454,2.71505658709625,2.6362786578400295,1.7098209673125955,38.64109111017026,0.07877792925622051
