cohort,station,energy_iou_inc,energy_precision_inc,sure_day_recall_inc,sure_day_uncertain_rate_inc,day_precision_inc,day_f1_inc,energy_iou_cand,energy_precision_cand,sure_day_recall_cand,sure_day_uncertain_rate_cand,day_precision_cand,day_f1_cand,d_energy_iou,d_energy_precision,d_sure_day_recall,d_sure_day_uncertain_rate,d_day_precision,d_day_f1
beta,beta_A,0.9413262399895168,0.974790350416185,0.9230769230769232,0.0384615384615384,1.0,0.96,0.951584917736676,0.983964543625726,0.9230769230769232,0.0384615384615384,1.0,0.96,0.010258677747159162,0.009174193209541048,0.0,0.0,0.0,0.0
beta,beta_B,0.8699961756522404,0.9324631459943604,0.848,0.072,1.0,0.9177489177489178,0.8732465426517855,0.936759561917088,0.848,0.088,1.0,0.9177489177489178,0.0032503669995450624,0.004296415922727559,0.0,0.016,0.0,0.0
beta,beta_C,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0
beta,beta_D,0.9105642805360206,0.9734840311396252,0.7555555555555555,0.1777777777777777,1.0,0.8607594936708861,0.8817249007562374,0.9640475582743112,0.7333333333333333,0.1777777777777777,0.9705882352941176,0.8354430379746834,-0.028839379779783125,-0.009436472865314016,-0.022222222222222254,0.0,-0.02941176470588236,-0.025316455696202667
beta,beta_E,0.9159477821923993,0.9286217126926708,1.0,0.0,1.0,1.0,0.9159477821923993,0.9286217126926708,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,beta_F,0.9228868019666504,0.9410329176674214,0.951219512195122,0.0426829268292682,0.951219512195122,0.951219512195122,0.9292688355906004,0.9470415331614176,0.9634146341463414,0.0304878048780487,0.9518072289156626,0.9575757575757576,0.0063820336239499564,0.006008615493996228,0.012195121951219412,-0.012195121951219499,0.0005877167205405875,0.006356245380635617
beta,beta_G,0.8586059085376222,0.8793671340820927,0.9294117647058824,0.0352941176470588,0.8777777777777778,0.9028571428571428,0.8569911268986415,0.8853896703568236,0.9058823529411764,0.0235294117647058,0.875,0.8901734104046243,-0.0016147816389806557,0.0060225362747309275,-0.02352941176470602,-0.011764705882353003,-0.002777777777777768,-0.012683732452518526
beta,beta_H,0.1714224879841008,0.7747114553769774,0.25,0.25,1.0,0.4,0.1714224879841008,0.7747114553769774,0.25,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
