cohort,station,energy_iou_inc,energy_precision_inc,sure_day_recall_inc,sure_day_uncertain_rate_inc,day_precision_inc,day_f1_inc,energy_iou_cand,energy_precision_cand,sure_day_recall_cand,sure_day_uncertain_rate_cand,day_precision_cand,day_f1_cand,d_energy_iou,d_energy_precision,d_sure_day_recall,d_sure_day_uncertain_rate,d_day_precision,d_day_f1
beta,beta_A,0.3973046422267701,0.9697662358317496,0.3076923076923077,0.6538461538461539,1.0,0.4705882352941176,0.9179531171685064,0.974663116593006,0.8846153846153846,0.0,1.0,0.9387755102040816,0.5206484749417363,0.004896880761256384,0.5769230769230769,-0.6538461538461539,0.0,0.468187274909964
beta,beta_B,0.8769004511510243,0.926010609427264,0.904,0.088,0.9741379310344828,0.9377593360995852,0.8670018197010527,0.9326010549109762,0.84,0.104,1.0,0.9130434782608696,-0.009898631449971607,0.006590445483712237,-0.06400000000000006,0.016,0.025862068965517238,-0.02471585783871555
beta,beta_C,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0
beta,beta_D,0.5583105420425859,0.8245595682968088,0.5111111111111111,0.4888888888888889,0.6052631578947368,0.5542168674698796,0.6777683089551784,0.9633705195016308,0.5111111111111111,0.1555555555555555,1.0,0.676470588235294,0.11945776691259247,0.138810951204822,0.0,-0.33333333333333337,0.39473684210526316,0.12225372076541441
beta,beta_E,0.0,,0.0,0.0,,0.0,0.9159477821923993,0.9286217126926708,1.0,0.0,1.0,1.0,0.9159477821923993,,1.0,0.0,,1.0
beta,beta_F,0.8830793464798966,0.95712203579709,0.8048780487804879,0.1707317073170731,0.9361702127659576,0.8655737704918033,0.9228868019666504,0.9410329176674214,0.951219512195122,0.0426829268292682,0.951219512195122,0.951219512195122,0.039807455486753796,-0.016089118129668623,0.14634146341463417,-0.1280487804878049,0.015049299429164442,0.08564574170331873
beta,beta_G,0.8197240636462416,0.8990757931274039,0.8235294117647058,0.1529411764705882,0.8860759493670886,0.8536585365853657,0.8586059085376222,0.8793671340820927,0.9294117647058824,0.0352941176470588,0.8777777777777778,0.9028571428571428,0.03888184489138058,-0.019708659045311272,0.10588235294117654,-0.11764705882352938,-0.008298171589310788,0.04919860627177708
beta,beta_H,0.0,,0.0,0.0,,0.0,0.1714224879841008,0.7747114553769774,0.25,0.5,1.0,0.4,0.1714224879841008,,0.25,0.5,,0.4
