regime,variant,heldout_site,training_subset,dataset_balanced_threshold_selection,training_rows,training_positive_support,threshold,selected_selection_metric,selected_macro_precision,selected_macro_recall,selected_macro_f1,selected_weighted_macro_precision,selected_weighted_macro_recall,selected_weighted_macro_f1,selected_pooled_precision,selected_pooled_recall,selected_pooled_f1
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,all_alpha_plus_other_7_beta_sites_sure_only,True,12635,3878,3.690327091222695,dataset_balanced_macro_site_f1,0.6995342403032316,0.6038763730379926,0.6383696030087566,0.7004753284820134,0.6289132659966626,0.6528210848219337,0.9781512605042016,0.7503867973182052,0.8492630964541078
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,all_alpha_plus_other_7_beta_sites_sure_only,True,12741,3778,3.690327091222695,dataset_balanced_macro_site_f1,0.6820718930454879,0.6055403807233064,0.629634428498181,0.679271049669039,0.6309338467574009,0.642214087201949,0.9741022099447514,0.7466913710958178,0.8453700928978124
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_C,all_alpha_plus_other_7_beta_sites_sure_only,True,12634,3905,3.690327091222695,dataset_balanced_macro_site_f1,0.740383913505846,0.6583426039748117,0.6850549438117444,0.7500785030851881,0.6950508321342288,0.7095104272255618,0.9747592162072402,0.7516005121638925,0.8487565066512435
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,all_alpha_plus_other_7_beta_sites_sure_only,True,12780,3855,3.690327091222695,dataset_balanced_macro_site_f1,0.6926591632283765,0.6077543686806941,0.6359401522640573,0.6921270206054037,0.6336222607056574,0.6498710374890847,0.977687626774848,0.7501945525291829,0.8489652135623074
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,all_alpha_plus_other_7_beta_sites_sure_only,True,12663,3884,3.6775555499703607,dataset_balanced_macro_site_f1,0.691974505175639,0.6012083766177598,0.633090424895852,0.691331219471213,0.6252268963610496,0.6461239942829715,0.9753168779186124,0.752832131822863,0.8497529787852369
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,all_alpha_plus_other_7_beta_sites_sure_only,True,12678,3737,3.690327091222695,dataset_balanced_macro_site_f1,0.6874102378477374,0.6012697748431591,0.6301080366821303,0.685753325500342,0.6257481110457934,0.6427891828538875,0.9795053003533568,0.7417714744447418,0.8442211055276383
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,all_alpha_plus_other_7_beta_sites_sure_only,True,12687,3820,3.68627357302582,dataset_balanced_macro_site_f1,0.6914576671957231,0.604632132946607,0.6339317714044909,0.6907100387063859,0.6297330662140361,0.647380551110362,0.9791167408421774,0.7486910994764397,0.848538792464026
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_H,all_alpha_plus_other_7_beta_sites_sure_only,True,12636,3901,3.690327091222695,dataset_balanced_macro_site_f1,0.7050897958587872,0.6142249569159882,0.6458392575372346,0.7072213602280452,0.6414794035628002,0.6618913796065141,0.9753825681969396,0.7516021532940271,0.848993774431736
