model_family,model_variant,regime,dataset,subset,summary_scope,substation_id,prediction_source,notes,day_support,day_positive_support,day_tp,day_fp,day_fn,day_tn,day_precision,day_recall,day_f1,interval_support,interval_positive_support,interval_tp,interval_fp,interval_fn,interval_tn,interval_precision,interval_recall,interval_f1,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,1,13,352,0.0,0.0,0.0,35136,168,0,9,168,34959,0.0,0.0,0.0,88.23298199999999,6.7776955,0.0,95.01067749999999,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,59,25,18,264,0.7023809523809523,0.7662337662337663,0.7329192546583851,35136,848,649,782,199,33506,0.453529000698812,0.7653301886792453,0.5695480473892058,613.355565,614.041742,534.4007485,692.9965585,0.8703003589941609,0.8712739868920892,0.8707869007895744,0.7711448808010205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,40,16,4,306,0.7142857142857143,0.9090909090909091,0.8,35040,553,475,236,78,34251,0.6680731364275668,0.8589511754068716,0.7515822784810127,147.81065700000002,174.13651199999998,132.91067850000002,189.0364905,0.7632556605934546,0.8991955059099697,0.8256676330643555,0.7030953555498852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,172,36,13,145,0.8269230769230769,0.9297297297297298,0.8753180661577608,35040,3993,3451,547,542,30500,0.8631815907953977,0.8642624593037816,0.86372168689776,1676.802064,1689.685174,1569.331835,1797.1554029999998,0.9287717375686697,0.9359076236203869,0.9323260265393586,0.8732310140682921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_G,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,117,103,26,14,223,0.7984496124031008,0.8803418803418803,0.8373983739837397,35136,2717,2312,559,405,31860,0.8052943225357019,0.8509385351490615,0.8274874731567645,2727.614458,2902.786964,2455.0974435,3175.3039785,0.8457725192884668,0.9000896135813047,0.8720861123354553,0.7731850116157312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_H,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,15,3,1,12,350,0.75,0.2,0.31578947368421056,35040,207,45,21,162,34812,0.6818181818181818,0.21739130434782608,0.32967032967032966,98.3482825,35.2148205,23.0019845,110.56111849999999,0.65319045144643,0.23388293028909782,0.3444362100512145,0.20804768269416524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_A,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,30,28,16,2,320,0.6363636363636364,0.9333333333333333,0.7567567567567568,35136,494,457,156,37,34486,0.7455138662316476,0.9251012145748988,0.8256549232158988,783.9919125000001,810.7527624999999,763.991873,830.7528020000001,0.9423241070979393,0.9744894823771539,0.9581369168077016,0.9196380333123451,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_B,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,153,131,26,22,187,0.8343949044585988,0.8562091503267973,0.8451612903225806,35136,3233,2732,471,501,31432,0.8529503590384016,0.8450355706773894,0.8489745183343691,5345.8698565,5322.5587055,4821.848239,5846.580322999999,0.9059267367060514,0.9019763608979656,0.9039472328989477,0.8247296663369557,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,0,13,353,0.0,0.0,0.0,35136,168,0,0,168,34968,0.0,0.0,0.0,88.23298199999999,0.0,0.0,88.23298199999999,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,61,35,16,254,0.6354166666666666,0.7922077922077922,0.7052023121387284,35136,848,665,931,183,33357,0.4166666666666667,0.7841981132075472,0.544189852700491,613.355565,636.4112495,536.3079665,713.458848,0.8427066097925725,0.8743834687470392,0.858252852096354,0.7517013321839132,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
