dataset,substation_id,date,v03_candidate_count,v03_selected_left_slot,v03_selected_right_slot,v03_selected_duration_h,selected_start_time,selected_end_time,M0_all_equal_score,n_missing_net,n_missing_solar,F5_n_height_ratio,F7_solar_peak_alignment,F6_solar_strength_ratio,F1_bridge_improvement,F2_roughness_improvement,F3_slope_continuity_improvement,F4_duration_plausibility,F8_site_centered_core_score,F9_site_rank_core_score,true_day,confidence,month,month_sin,month_cos,is_weekend,season,season_autumn,season_spring,season_summer,season_winter
alpha,alpha_A,2021-11-01,210,35,36,0.5,08:45,09:00,-1.6281573913210885,5,1,0.0,0.1785714285714286,0.0,-0.9999918303680602,-0.8889612969593345,0.5807682466656541,0.3333333333333333,-0.0741307936908702,-0.7577464788732394,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-02,210,26,45,5.0,06:30,11:15,-1.3660706309770103,0,0,0.0,0.1785714285714286,0.0,-0.9998597865239806,-0.8951314355500739,0.4199911299802314,1.0,-0.129735864168231,-0.939906103286385,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-03,210,35,36,0.5,08:45,09:00,-0.1446565052398882,0,0,0.0,0.1785714285714286,0.0,-0.9999870139443132,-0.9066391278020304,0.8857148129694467,0.3333333333333333,0.0216270569374109,0.3427230046948357,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-04,210,35,38,1.0,08:45,09:30,0.0445429030024906,0,0,0.0,0.1071428571428571,0.0,-0.9999979740680284,-0.9192745052143066,0.8889025577938622,0.6666666666666666,0.0184741927002189,0.2826291079812206,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-05,210,35,36,0.5,08:45,09:00,-1.5056067636430135,0,0,0.0,0.1785714285714286,0.0,-0.9999926545204224,-0.8970528186234861,0.6216186336632595,0.3333333333333333,-0.0632114466305063,-0.6788732394366197,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-06,210,29,46,4.5,07:15,11:30,0.4517855937048289,0,0,0.0020774313758895,0.0357142857142857,0.0,-0.9999771651223236,-0.9148989845391304,0.9060361082814998,1.0,0.0256508194030586,0.3971830985915492,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
alpha,alpha_A,2021-11-07,210,35,39,1.25,08:45,09:45,-1.263122078163569,0,0,0.0,0.0714285714285714,0.0,-0.9999803280919776,-0.8865806393821316,0.5673688694672283,0.8333333333333334,-0.0777998661392502,-0.7708920187793427,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
alpha,alpha_A,2021-11-08,210,24,44,5.25,06:00,11:00,-0.4152072915460336,0,0,0.0,0.2857142857142857,0.0,-0.9998678717975592,-0.8307657200461206,0.634902734705383,1.0,-0.0366461191830556,-0.4685446009389671,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-09,210,27,38,3.0,06:45,09:30,1.4716758388525657,0,0,0.011021623991273,0.3928571428571429,0.0,-0.9999288982776028,-0.8764972397381312,0.9931497607835356,1.0,0.0675053741189772,0.8835680751173709,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
alpha,alpha_A,2021-11-10,210,31,33,0.75,07:45,08:15,-0.182348119360305,0,0,0.0,0.4285714285714286,0.0,-0.9999954055169789,-0.8361788439936236,0.7477336467631113,0.5,-0.0008827010527871,-0.0215962441314554,False,not_applicable,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
