Forecast model,Raw RMSE (MW),M9-corrected RMSE (MW),Manually corrected RMSE (MW),M9 reduction vs raw (MW),M9 reduction vs raw (%),Remaining gap to manual (MW)
Linear regression,4.716049607401454,3.115496529798218,3.06855123198523,1.6005530776032364,33.93842751550576,0.046945297812988
Seasonal naive,4.808065762366514,3.610191918125474,3.666964274646295,1.1978738442410402,24.91384068864005,-0.0567723565208209
XGBoost,4.424877554408845,2.71505658709625,2.636278657840029,1.7098209673125957,38.64109111017026,0.0787779292562205
