regime,variant,substation_id,date,confidence,day_group,true_day,pred_day,score,threshold,confidence_score,true_start_time,true_end_time,pred_start_time,pred_end_time,v03_selected_duration_h
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2023-12-30,sure,FN_day,True,False,3.5733717386310344,3.68627357302582,0.11290183439478563,09:30,12:00,09:45,12:45,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-06-16,sure,FN_day,True,False,3.526206921559348,3.68627357302582,0.16006665146647192,11:00,13:45,11:00,13:45,3.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-06-28,sure,FN_day,True,False,3.3429506475362523,3.68627357302582,0.3433229254895678,11:30,14:00,11:45,14:00,2.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_G,2024-09-24,sure,FN_day,True,False,3.21352322046895,3.68627357302582,0.4727503525568699,09:15,13:45,09:30,12:30,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_H,2023-10-05,sure,FN_day,True,False,3.552416360416796,3.690327091222695,0.1379107308058991,11:45,15:15,11:15,15:00,4.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2023-11-08,sure,FP_day,False,True,4.302909206560201,3.690327091222695,0.6125821153375055,,,12:00,12:45,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2023-11-16,sure,FP_day,False,True,3.9086613891431483,3.690327091222695,0.21833429792045322,,,12:00,12:45,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2023-12-22,sure,FP_day,False,True,3.9374224094844483,3.690327091222695,0.24709531826175324,,,11:45,12:15,0.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-01-05,sure,FP_day,False,True,3.8447166879529573,3.690327091222695,0.1543895967302622,,,12:15,12:30,0.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-04-06,sure,FP_day,False,True,4.003232857592385,3.690327091222695,0.31290576636969014,,,12:00,13:30,1.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-04-16,sure,FP_day,False,True,3.889338230597141,3.690327091222695,0.1990111393744458,,,11:00,12:45,2.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-04-22,sure,FP_day,False,True,3.883064123242285,3.690327091222695,0.1927370320195898,,,10:45,13:15,2.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-04-28,sure,FP_day,False,True,3.9926858903374747,3.690327091222695,0.3023587991147796,,,10:45,12:45,2.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-08-23,sure,FP_day,False,True,3.917036987088476,3.690327091222695,0.22670989586578072,,,11:30,14:00,2.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-08-28,sure,FP_day,False,True,4.052325147165238,3.690327091222695,0.36199805594254286,,,12:15,13:30,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2024-09-24,sure,FP_day,False,True,3.7327251428153074,3.690327091222695,0.04239805159261234,,,10:30,10:45,0.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2023-12-28,sure,FP_day,False,True,3.9193432623185136,3.690327091222695,0.2290161710958185,,,11:00,11:45,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-13,sure,FP_day,False,True,3.9002000312103,3.690327091222695,0.20987293998760492,,,11:45,14:15,2.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-24,sure,FP_day,False,True,4.3392133533606865,3.690327091222695,0.6488862621379914,,,09:15,11:00,2.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-26,sure,FP_day,False,True,4.0380543525671,3.690327091222695,0.3477272613444047,,,10:30,13:00,2.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-27,sure,FP_day,False,True,3.706056667538758,3.690327091222695,0.015729576316062754,,,09:00,14:45,6.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-29,sure,FP_day,False,True,3.81657343431031,3.690327091222695,0.12624634308761484,,,11:00,11:30,0.75
