confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
beta_sure,pooled,,2310,471,385,48,86,1791,0.8891454965357968,0.8174097664543525,0.8517699115044248
beta_sure,macro_substation,,2310,471,385,48,86,1791,0.7084515782597623,0.6852064193975959,0.6806456457080845
beta_all,pooled,,2928,630,469,149,161,2149,0.7588996763754046,0.7444444444444445,0.7516025641025641
beta_all,macro_substation,,2928,630,469,149,161,2149,0.6144812151747687,0.6344536463825503,0.6046656145549185
