dataset,month,day,valid_calendar_day,total_site_days,rpf_site_days,rpf_site_day_pct
Beta,9,16,True,8.0,6.0,75.0
Beta,9,17,True,8.0,7.0,87.5
Beta,9,18,True,8.0,7.0,87.5
Beta,9,19,True,8.0,4.0,50.0
Beta,9,20,True,8.0,7.0,87.5
Beta,9,21,True,8.0,7.0,87.5
Beta,9,22,True,8.0,6.0,75.0
Beta,9,23,True,8.0,8.0,100.0
Beta,9,24,True,8.0,3.0,37.5
Beta,9,25,True,8.0,2.0,25.0
Beta,9,26,True,8.0,0.0,0.0
Beta,9,27,True,8.0,0.0,0.0
Beta,9,28,True,8.0,1.0,12.5
Beta,9,29,True,8.0,1.0,12.5
Beta,9,30,True,8.0,2.0,25.0
Beta,9,31,False,,,
Beta,10,1,True,8.0,3.0,37.5
Beta,10,2,True,8.0,3.0,37.5
Beta,10,3,True,8.0,4.0,50.0
Beta,10,4,True,8.0,1.0,12.5
Beta,10,5,True,8.0,6.0,75.0
Beta,10,6,True,8.0,5.0,62.5
Beta,10,7,True,8.0,5.0,62.5
Beta,10,8,True,8.0,5.0,62.5
Beta,10,9,True,8.0,5.0,62.5
Beta,10,10,True,8.0,5.0,62.5
Beta,10,11,True,8.0,5.0,62.5
Beta,10,12,True,8.0,5.0,62.5
Beta,10,13,True,8.0,5.0,62.5
Beta,10,14,True,8.0,6.0,75.0
Beta,10,15,True,8.0,5.0,62.5
Beta,10,16,True,8.0,5.0,62.5
Beta,10,17,True,8.0,4.0,50.0
Beta,10,18,True,8.0,5.0,62.5
Beta,10,19,True,8.0,6.0,75.0
Beta,10,20,True,8.0,5.0,62.5
Beta,10,21,True,8.0,4.0,50.0
Beta,10,22,True,8.0,4.0,50.0
Beta,10,23,True,8.0,5.0,62.5
Beta,10,24,True,8.0,5.0,62.5
Beta,10,25,True,8.0,4.0,50.0
Beta,10,26,True,8.0,0.0,0.0
Beta,10,27,True,8.0,2.0,25.0
Beta,10,28,True,8.0,2.0,25.0
Beta,10,29,True,8.0,6.0,75.0
Beta,10,30,True,8.0,5.0,62.5
Beta,10,31,True,8.0,6.0,75.0
Beta,11,1,True,8.0,3.0,37.5
Beta,11,2,True,8.0,4.0,50.0
Beta,11,3,True,8.0,3.0,37.5
Beta,11,4,True,8.0,2.0,25.0
Beta,11,5,True,8.0,1.0,12.5
Beta,11,6,True,8.0,0.0,0.0
Beta,11,7,True,8.0,5.0,62.5
Beta,11,8,True,8.0,4.0,50.0
Beta,11,9,True,8.0,4.0,50.0
Beta,11,10,True,8.0,5.0,62.5
Beta,11,11,True,8.0,4.0,50.0
Beta,11,12,True,8.0,2.0,25.0
Beta,11,13,True,8.0,2.0,25.0
Beta,11,14,True,8.0,5.0,62.5
Beta,11,15,True,8.0,3.0,37.5
Beta,11,16,True,8.0,4.0,50.0
Beta,11,17,True,8.0,5.0,62.5
Beta,11,18,True,8.0,6.0,75.0
Beta,11,19,True,8.0,6.0,75.0
Beta,11,20,True,8.0,0.0,0.0
Beta,11,21,True,8.0,2.0,25.0
Beta,11,22,True,8.0,3.0,37.5
Beta,11,23,True,8.0,0.0,0.0
Beta,11,24,True,8.0,0.0,0.0
Beta,11,25,True,8.0,0.0,0.0
Beta,11,26,True,8.0,2.0,25.0
Beta,11,27,True,8.0,2.0,25.0
Beta,11,28,True,8.0,0.0,0.0
Beta,11,29,True,8.0,0.0,0.0
Beta,11,30,True,8.0,1.0,12.5
Beta,11,31,False,,,
Beta,12,1,True,8.0,0.0,0.0
Beta,12,2,True,8.0,0.0,0.0
Beta,12,3,True,8.0,1.0,12.5
Beta,12,4,True,8.0,1.0,12.5
Beta,12,5,True,8.0,1.0,12.5
Beta,12,6,True,8.0,1.0,12.5
Beta,12,7,True,8.0,2.0,25.0
Beta,12,8,True,8.0,0.0,0.0
Beta,12,9,True,8.0,0.0,0.0
Beta,12,10,True,8.0,0.0,0.0
Beta,12,11,True,8.0,1.0,12.5
Beta,12,12,True,8.0,1.0,12.5
Beta,12,13,True,8.0,1.0,12.5
Beta,12,14,True,8.0,0.0,0.0
Beta,12,15,True,8.0,1.0,12.5
Beta,12,16,True,8.0,1.0,12.5
Beta,12,17,True,8.0,0.0,0.0
Beta,12,18,True,8.0,0.0,0.0
Beta,12,19,True,8.0,0.0,0.0
Beta,12,20,True,8.0,0.0,0.0
Beta,12,21,True,8.0,0.0,0.0
Beta,12,22,True,8.0,2.0,25.0
Beta,12,23,True,8.0,2.0,25.0
Beta,12,24,True,8.0,1.0,12.5
Beta,12,25,True,8.0,4.0,50.0
Beta,12,26,True,8.0,1.0,12.5
Beta,12,27,True,8.0,1.0,12.5
Beta,12,28,True,8.0,0.0,0.0
Beta,12,29,True,8.0,1.0,12.5
Beta,12,30,True,8.0,2.0,25.0
Beta,12,31,True,8.0,0.0,0.0
