cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_B,1055,27,29.610468499999996,47.9815515,0.5645571518211454,0.5835247115758647,1.0,0.5925925925925926,0.7441860465116279,16,0,11,0.015165876777251185,0.966824644549763,0.01800947867298578,27,0.5925925925925926,0.4074074074074074
alpha,alpha_C,1055,627,3752.316103,3770.8162024999997,0.86433700945202,0.9249580220026651,0.9658273381294964,0.8564593301435407,0.907861369399831,537,19,90,0.5270142180094787,0.3630331753554502,0.10995260663507109,627,0.8564593301435407,0.11483253588516747
alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.002898550724637681,0,,
alpha,alpha_E,1035,700,6326.578003500001,6273.969303,0.8999321945009567,0.9513026497668856,0.9843260188087775,0.8971428571428571,0.9387144992526159,628,10,72,0.6164251207729469,0.2975845410628019,0.08599033816425121,700,0.8971428571428571,0.08428571428571428
alpha,alpha_F,1033,842,13356.8295205,13151.849841500003,0.8773554996297757,0.9419553863752951,0.9858611825192802,0.9109263657957245,0.9469135802469136,767,11,75,0.7531461761858664,0.15972894482090996,0.08712487899322362,842,0.9109263657957245,0.07719714964370546
alpha,alpha_G,1037,650,5828.545406499999,5818.594107999999,0.8385788987703778,0.9129833835971017,0.9575856443719413,0.9030769230769231,0.9295328582739509,587,26,63,0.5911282545805208,0.32594021215043395,0.08293153326904533,650,0.9030769230769231,0.08153846153846153
alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_I,1042,148,1199.690992,1300.2550554999998,0.815726550482417,0.8637662662792854,0.967741935483871,0.8108108108108109,0.8823529411764706,120,4,28,0.11900191938579655,0.8464491362763915,0.0345489443378119,148,0.8108108108108109,0.16891891891891891
alpha,alpha_J,1055,387,1542.0867715000002,1543.6434035,0.8453105667321095,0.9157096592354272,0.9596273291925466,0.7984496124031008,0.8716502115655854,309,13,78,0.3052132701421801,0.6,0.0947867298578199,387,0.7984496124031008,0.17829457364341086
beta,beta_A,337,26,754.99691,691.381002,0.9072965355075048,0.9951656380630489,0.9565217391304348,0.8461538461538461,0.8979591836734695,22,1,4,0.06824925816023739,0.8694362017804155,0.06231454005934718,26,0.8461538461538461,0.07692307692307693
beta,beta_B,231,125,4769.1721835,3839.236853,0.7868626126989011,0.9873832089931753,1.0,0.664,0.798076923076923,83,0,42,0.3593073593073593,0.5454545454545454,0.09523809523809523,125,0.664,0.168
beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9970501474926253,0.0029498525073746312,0,,
beta,beta_D,188,45,475.14381699999996,340.80356500000005,0.568440144249631,0.8677104257990963,0.8076923076923077,0.4666666666666667,0.5915492957746479,21,5,24,0.13829787234042554,0.7180851063829787,0.14361702127659576,45,0.4666666666666667,0.17777777777777778
beta,beta_E,306,21,87.1145895,56.324441500000006,0.5875165790991261,0.9424803528677687,0.9166666666666666,0.5238095238095238,0.6666666666666667,11,1,10,0.0392156862745098,0.8954248366013072,0.06535947712418301,21,0.5238095238095238,0.38095238095238093
beta,beta_F,286,164,1578.0256439999998,1510.2426919999998,0.9220568493304352,0.980979101139064,0.9615384615384616,0.9146341463414634,0.9375000000000001,150,6,14,0.5454545454545454,0.32867132867132864,0.1258741258741259,164,0.9146341463414634,0.07926829268292683
beta,beta_G,283,85,2201.5129779999997,1859.0943690000001,0.7069747082129308,0.9046203466285686,0.855072463768116,0.6941176470588235,0.7662337662337662,59,10,26,0.24381625441696114,0.6890459363957597,0.06713780918727916,85,0.6941176470588235,0.11764705882352941
beta,beta_H,335,4,30.179627500000002,0.0,0.0,,,0.0,0.0,0,0,4,0.0,0.991044776119403,0.008955223880597015,4,0.0,0.0
