model,model_label,raw_rmse_MW,m9_pbm_corrected_rmse_MW,manually_corrected_rmse_MW,m9_rmse_reduction_vs_raw_MW,m9_rmse_reduction_vs_raw_pct,remaining_gap_to_manual_rmse_MW
linear_regression,Linear regression,4.716049607401454,3.1365603316997754,3.06855123198523,1.579489275701679,33.49178671112364,0.0680090997145455
seasonal_naive,Seasonal naive,4.808065762366514,3.8149465349565537,3.666964274646295,0.9931192274099604,20.65527545782049,0.1479822603102589
xgboost,XGBoost,4.424877554408845,4.023179011708748,2.636278657840029,0.4016985427000978,9.078184373708934,1.386900353868718
