regime,model,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
alpha_only,xgboost,beta_sure,substation,beta_E,308,21,21,26,0,261,0.44680851063829785,1.0,0.6176470588235294
alpha_only,xgboost,beta_sure,substation,beta_F,287,165,165,54,0,68,0.7534246575342466,1.0,0.8593750000000001
alpha_only,xgboost,beta_sure,substation,beta_G,283,85,85,55,0,143,0.6071428571428571,1.0,0.7555555555555554
alpha_only,xgboost,beta_sure,substation,beta_H,337,4,4,17,0,316,0.19047619047619047,1.0,0.32
alpha_only,xgboost,beta_sure,macro_substation,,2310,471,471,313,0,1526,0.44833253853540944,0.875,0.5624498773065563
alpha_only,xgboost,beta_all,pooled,,2928,630,610,651,20,1647,0.4837430610626487,0.9682539682539683,0.6451612903225806
alpha_only,xgboost,beta_all,substation,beta_A,366,29,29,91,0,246,0.24166666666666667,1.0,0.38926174496644295
alpha_only,xgboost,beta_all,substation,beta_B,366,152,146,81,6,133,0.6431718061674009,0.9605263157894737,0.770448548812665
alpha_only,xgboost,beta_all,substation,beta_C,366,13,5,12,8,341,0.29411764705882354,0.38461538461538464,0.33333333333333337
alpha_only,xgboost,beta_all,substation,beta_D,366,76,76,200,0,90,0.2753623188405797,1.0,0.4318181818181819
alpha_only,xgboost,beta_all,substation,beta_E,366,44,44,48,0,274,0.4782608695652174,1.0,0.6470588235294118
alpha_only,xgboost,beta_all,substation,beta_F,366,184,184,105,0,77,0.6366782006920415,1.0,0.7780126849894292
alpha_only,xgboost,beta_all,substation,beta_G,366,117,115,85,2,164,0.575,0.9829059829059829,0.725552050473186
alpha_only,xgboost,beta_all,substation,beta_H,366,15,11,29,4,322,0.275,0.7333333333333333,0.4
alpha_only,xgboost,beta_all,macro_substation,,2928,630,610,651,20,1647,0.4274071886238412,0.8826726270805219,0.5594356709903312
