cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,31142.249546,0.8586852880757608,0.9372240258009524,0.9719800747198007,0.9233954451345756,0.9470650690125891,3122,90,259,0.30810551558752997,0.6629256594724221,0.02896882494004796,3381,0.9233954451345756,0.04732327713694173,0.0110593034530214,0.02134270288262203,0.00013575479605609786
beta,headline,2305,470,9896.145749500001,4433.947356500001,0.4303899636914062,0.9724474924536691,0.7598684210526315,0.49148936170212765,0.5968992248062015,231,73,239,0.13188720173535792,0.7019522776572669,0.16616052060737527,470,0.49148936170212765,0.44468085106382976,0.03542714587029111,0.06723864502692481,0.005521644330512054
beta,unsure_sensitivity,617,159,1563.540946,239.6460935,0.11395491871301118,0.7697255160973446,0.3763440860215054,0.22012578616352202,0.27777777777777773,35,58,124,0.1507293354943274,0.4019448946515397,0.4473257698541329,0,,,,,
