point,cohort,station,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
target 0.95 (rule L),alpha,alpha_I,1040,79,1,32,78,0.9873417721518988,0.527027027027027,0.8894445248780587,0.800747501278146,0.3512019230769231,39,13.696875,0.9625
target 0.95 (rule L),alpha,alpha_J,1052,177,0,91,177,1.0,0.4573643410852713,0.9522346455405787,0.8223521914850794,0.0,120,41.663498098859314,0.8859315589353612
target 0.99 (rule L),alpha,alpha_A,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_B,1051,0,0,8,0,,0.0,,0.0,0.0,22,7.645575642245481,0.9790675547098002
target 0.99 (rule L),alpha,alpha_C,1051,44,0,60,44,1.0,0.07017543859649122,0.9994857766176392,0.2656328533796128,0.0,546,189.74928639391055,0.4804947668886774
target 0.99 (rule L),alpha,alpha_D,1032,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_E,1031,15,0,55,15,1.0,0.02142857142857143,0.9982884341612925,0.061425208688652956,0.0,640,226.7313288069835,0.3792434529582929
target 0.99 (rule L),alpha,alpha_F,1029,30,0,47,30,1.0,0.035629453681710214,0.9942207631073623,0.10814162724538992,0.0,775,275.0911078717201,0.2468415937803693
target 0.99 (rule L),alpha,alpha_G,1033,31,0,46,31,1.0,0.047692307692307694,0.9974762019517436,0.14128225147672824,0.0,595,210.38117134559533,0.42400774443368827
target 0.99 (rule L),alpha,alpha_H,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_I,1040,5,0,16,5,1.0,0.033783783783783786,0.9959117224555075,0.12211073455156034,0.0,132,46.35865384615385,0.8730769230769231
target 0.99 (rule L),alpha,alpha_J,1052,24,0,51,24,1.0,0.06201550387596899,0.9984131475470459,0.2324234184527132,0.0,326,113.18583650190115,0.6901140684410646
