subset_mask,feature_count,feature_set,feature_set_short,beta_sure_support,beta_sure_positive_support,beta_sure_tp,beta_sure_fp,beta_sure_fn,beta_sure_tn,beta_sure_precision,beta_sure_recall,beta_sure_f1,beta_sure_macro_precision,beta_sure_macro_recall,beta_sure_macro_f1,beta_all_support,beta_all_positive_support,beta_all_tp,beta_all_fp,beta_all_fn,beta_all_tn,beta_all_precision,beta_all_recall,beta_all_f1
203,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F4+F7+F8,2310,471,418,123,53,1716,0.7726432532347505,0.8874734607218684,0.8260869565217391,0.571208397333359,0.7581535947712418,0.6225826191031162,2928,630,520,267,110,2031,0.6607369758576874,0.8253968253968254,0.7339449541284404
171,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F8_substation_centered_core_score,F1+F2+F4+F6+F8,2310,471,436,149,35,1690,0.7452991452991453,0.9256900212314225,0.8257575757575758,0.5372779131028773,0.7482565359477125,0.6021197751132945,2928,630,550,352,80,1946,0.6097560975609756,0.873015873015873,0.7180156657963446
211,5,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F5+F7+F8,2310,471,426,135,45,1704,0.7593582887700535,0.9044585987261147,0.8255813953488372,0.554269567992394,0.7358893345216875,0.6099506102054144,2928,630,532,288,98,2010,0.6487804878048781,0.8444444444444444,0.733793103448276
117,5,F1_bridge_improvement + F3_slope_continuity_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F3+F5+F6+F7,2310,471,432,144,39,1695,0.75,0.9171974522292994,0.8252148997134672,0.5692340374961498,0.7665975299210593,0.6374203646413252,2928,630,538,312,92,1986,0.6329411764705882,0.8539682539682539,0.727027027027027
25,3,F1_bridge_improvement + F4_duration_plausibility + F5_n_height_ratio,F1+F4+F5,2310,471,417,124,54,1715,0.7707948243992606,0.8853503184713376,0.8241106719367589,0.573614451667877,0.7220358905800082,0.6140794830902221,2928,630,520,308,110,1990,0.6280193236714976,0.8253968253968254,0.7133058984910838
249,6,F1_bridge_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F4+F5+F6+F7+F8,2310,471,441,159,30,1680,0.735,0.9363057324840764,0.823529411764706,0.5387738554878108,0.8130292632204397,0.6191770537020064,2928,630,556,332,74,1966,0.6261261261261262,0.8825396825396825,0.7325428194993412
137,3,F1_bridge_improvement + F4_duration_plausibility + F8_substation_centered_core_score,F1+F4+F8,2310,471,432,147,39,1692,0.7461139896373057,0.9171974522292994,0.8228571428571428,0.5512427447928901,0.8040577837195484,0.6255773761735526,2928,630,541,339,89,1959,0.6147727272727272,0.8587301587301587,0.7165562913907284
475,7,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score + F9_substation_rank_core_score,F1+F2+F4+F5+F7+F8+F9,2310,471,418,127,53,1712,0.7669724770642202,0.8874734607218684,0.8228346456692912,0.5714163855176067,0.8210778371954842,0.62640860247834,2928,630,521,261,109,2037,0.6662404092071611,0.8269841269841269,0.7379603399433429
139,4,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F8_substation_centered_core_score,F1+F2+F4+F8,2310,471,435,153,36,1686,0.7397959183673469,0.9235668789808917,0.8215297450424929,0.5422372833032023,0.7751393345216875,0.613396292382218,2928,630,548,359,82,1939,0.6041896361631753,0.8698412698412699,0.7130774235523748
347,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F9_substation_rank_core_score,F1+F2+F4+F5+F7+F9,2310,471,416,126,55,1713,0.7675276752767528,0.8832271762208068,0.8213228035538007,0.5750001461775001,0.8178799762329174,0.6263058870812068,2928,630,518,266,112,2032,0.6607142857142857,0.8222222222222222,0.7326732673267325
67,3,F1_bridge_improvement + F2_roughness_improvement + F7_solar_peak_alignment,F1+F2+F7,2310,471,444,167,27,1672,0.7266775777414075,0.9426751592356688,0.8207024029574862,0.5506244885480581,0.7849188948306596,0.6271755077352879,2928,630,556,383,74,1915,0.5921192758253461,0.8825396825396825,0.7087316762268961
443,7,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F8_substation_centered_core_score + F9_substation_rank_core_score,F1+F2+F4+F5+F6+F8+F9,2310,471,415,127,56,1712,0.7656826568265682,0.881104033970276,0.8193484698914116,0.5697151363877906,0.8185769459298871,0.6243506220561659,2928,630,519,261,111,2037,0.6653846153846154,0.8238095238095238,0.7361702127659573
63,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio,F1+F2+F3+F4+F5+F6,2310,471,448,175,23,1664,0.7191011235955056,0.9511677282377919,0.8190127970749543,0.49787145099645097,0.726536541889483,0.5743084002251699,2928,630,563,408,67,1890,0.5798146240988672,0.8936507936507937,0.7033104309806372
315,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F9_substation_rank_core_score,F1+F2+F4+F5+F6+F9,2310,471,425,142,46,1697,0.7495590828924162,0.9023354564755839,0.8188824662813102,0.556661848668839,0.8266375519904932,0.6191071322390689,2928,630,534,296,96,2002,0.6433734939759036,0.8476190476190476,0.7315068493150685
411,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F8_substation_centered_core_score + F9_substation_rank_core_score,F1+F2+F4+F5+F8+F9,2310,471,419,134,52,1705,0.7576853526220615,0.8895966029723992,0.818359375,0.564107302443931,0.8223202614379085,0.6210436643224648,2928,630,523,275,107,2023,0.6553884711779449,0.8301587301587302,0.7324929971988796
511,9,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score + F9_substation_rank_core_score,F1+F2+F3+F4+F5+F6+F7+F8+F9,2310,471,416,130,55,1709,0.7619047619047619,0.8832271762208068,0.8180924287118977,0.5778982665012077,0.8171812240047533,0.6361542377501266,2928,630,516,264,114,2034,0.6615384615384615,0.819047619047619,0.7319148936170211
119,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F3+F5+F6+F7,2310,471,446,174,25,1665,0.7193548387096774,0.9469214437367304,0.8175985334555453,0.5028777196120005,0.7254777183600714,0.5786364144704828,2928,630,560,380,70,1918,0.5957446808510638,0.8888888888888888,0.713375796178344
283,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F9_substation_rank_core_score,F1+F2+F4+F5+F9,2310,471,414,128,57,1711,0.7638376383763837,0.8789808917197452,0.8173741362290228,0.5568154867103227,0.7553942364824717,0.6108175240219558,2928,630,521,278,109,2020,0.6520650813516896,0.8269841269841269,0.7291812456263123
61,5,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio,F1+F3+F4+F5+F6,2310,471,424,143,47,1696,0.7477954144620811,0.9002123142250531,0.816955684007707,0.5473208916272114,0.731189393939394,0.6065185882493576,2928,630,531,334,99,1964,0.6138728323699422,0.8428571428571429,0.7103678929765886
271,5,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F9_substation_rank_core_score,F1+F2+F3+F4+F9,2310,471,415,130,56,1709,0.7614678899082569,0.881104033970276,0.8169291338582677,0.5561403713611426,0.7481945929887106,0.6113704133421332,2928,630,522,289,108,2009,0.6436498150431565,0.8285714285714286,0.7244968771686329
303,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F9_substation_rank_core_score,F1+F2+F3+F4+F6+F9,2310,471,415,130,56,1709,0.7614678899082569,0.881104033970276,0.8169291338582677,0.5664767851299184,0.8084664289958408,0.6251169008980697,2928,630,521,284,109,2014,0.6472049689440994,0.8269841269841269,0.7261324041811846
367,7,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment + F9_substation_rank_core_score,F1+F2+F3+F4+F6+F7+F9,2310,471,421,139,50,1700,0.7517857142857143,0.8938428874734607,0.816682832201746,0.5583971542061972,0.8178841354723707,0.6222457838448511,2928,630,528,291,102,2007,0.6446886446886447,0.8380952380952381,0.7287784679089028
307,5,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F9_substation_rank_core_score,F1+F2+F5+F6+F9,2310,471,425,146,46,1693,0.7443082311733801,0.9023354564755839,0.8157389635316697,0.5500264121731324,0.8266375519904932,0.6164645935294903,2928,630,534,309,96,1989,0.6334519572953736,0.8476190476190476,0.725050916496945
207,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F3+F4+F7+F8,2310,471,416,133,55,1706,0.7577413479052824,0.8832271762208068,0.8156862745098039,0.5884554453976304,0.7531019013666073,0.6338818200188387,2928,630,510,275,120,2023,0.6496815286624203,0.8095238095238095,0.7208480565371025
