cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,34504.6658045,0.851582025945528,0.8869325832017999,0.9697530864197531,0.9293108547766933,0.9491013442078235,3142,98,239,0.3107913669064748,0.6620623501199041,0.027146282973621105,3381,0.9293108547766933,0.04052055604850636,0.00976814086264684,0.022063057490046147,0.00016813111939939507
beta,headline,2305,470,9896.145749500001,9739.732447499999,0.8454556045334463,0.9236140016155205,0.9044117647058824,0.7851063829787234,0.8405466970387244,369,39,101,0.1770065075921909,0.7262472885032538,0.09674620390455531,470,0.7851063829787234,0.14893617021276595,0.012562510892011889,0.041110937409868896,0.00042516226416700054
beta,unsure_sensitivity,617,159,1563.540946,1564.1364204999995,0.32766552940518356,0.4935025429260505,0.453781512605042,0.33962264150943394,0.3884892086330935,54,65,105,0.19286871961102106,0.4586709886547812,0.34846029173419774,0,,,,,
