Method,Combined Energy IoU,Alpha Energy IoU,Beta sure Energy IoU,Alpha/Beta energy-precision gate,Alpha energy precision,Beta energy precision,Site-day F1,Site-day precision,Decision
M7,0.2985885262757816,0.304104800907138,0.2774618911876184,Fail / Fail,0.3175164851414568,0.31976469872847296,0.6028414594769131,0.4373901839053531,Not default
M8,0.7322498593682089,0.8521200762003168,0.3395042207778926,Pass / Pass,0.9589239926161742,0.9318681472673687,0.8437998549673676,0.9556504599211564,Not default
M9,0.8749280329595823,0.8692058067623027,0.8945449477456121,Fail / Pass,0.8885742368962344,0.940667717682573,0.9376262966455612,0.9742441209406496,Default
