method,group,n_stations,n_days,n_rpf,required_mwh,applied_mwh,false_mwh,energy_iou,energy_precision,day_f1,day_precision,day_recall,sure_day_recall,sure_day_uncertain_rate,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,interval_precision,interval_recall,interval_f1,window_iou_mean,start_error_mae,end_error_mae,min_change_days,min_change_mean_mw,reference_min_change_days,reference_min_change_mean_mw
M7,Combined,18,12730,3851,41931.803015,109545.8917045,74716.151017,0.2985885262757816,0.3179465714830568,0.6028414594769131,0.4373901839053531,0.9696182809659828,0.9696182809659828,0.0,3734,4803,117,0.6706205813040063,0.3293794186959937,0.0,0.5622270460242396,0.7604243123274265,0.6464759018244487,0.6029680396968152,2.4603642206748795,2.2694161756829137,8537,-5.167067782593417,3851,-1.893354602181252
M7,Alpha,10,10425,3381,32035.6572655,88589.612429,60460.9500705,0.304104800907138,0.3175164851414568,0.6622581918673509,0.4969634128277292,0.992309967465247,0.992309967465247,0.0,3355,3396,26,0.6475779376498801,0.3524220623501199,0.0,0.5858771607208533,0.7733172924713481,0.6666727319043634,0.597058707001329,2.5230998509687037,2.290909090909091,6751,-5.120800375648052,3381,-1.6945037216799763
M7,Beta sure,8,2305,470,9896.1457495,20956.2792755,14255.2009465,0.2774618911876184,0.3197646987284729,0.3359929078014184,0.2122060470324748,0.8063829787234043,0.8063829787234043,0.0,379,1407,91,0.7748373101952277,0.2251626898047722,0.0,0.4626775257454398,0.6983643198211927,0.5565991902834008,0.6454775159594511,1.9050131926121368,2.079155672823219,1786,-5.341956508398657,470,-3.323811680851064
M8,Combined,18,12730,3851,41931.803015,33243.2203935,1465.5296515,0.7322498593682089,0.9559149314009736,0.8437998549673676,0.9556504599211564,0.7553882108543235,0.7553882108543235,0.0,2909,135,942,0.239120188531029,0.760879811468971,0.0,0.8976946557929746,0.6886686938590053,0.7794106012658227,0.5114773601640297,2.097971811619113,2.0948779649364044,3027,-1.965575555996036,3851,-1.893354602181252
M8,Alpha,10,10425,3381,32035.6572655,29546.019886,1213.6325310000002,0.8521200762003168,0.9589239926161742,0.8716525146962769,0.973022238425082,0.7894114167406093,0.7894114167406093,0.0,2669,74,712,0.2631175059952038,0.7368824940047962,0.0,0.9104228345858952,0.759387070220984,0.8280742939998619,0.5388786186622503,1.89396777819408,1.962907455976021,2741,-1.9068820288215984,3381,-1.6945037216799763
M8,Beta sure,8,2305,470,9896.1457495,3697.2005075,251.8971205,0.3395042207778926,0.9318681472673688,0.622568093385214,0.7973421926910299,0.5106382978723404,0.5106382978723404,0.0,240,61,230,0.13058568329718,0.86941431670282,0.0,0.7828271294816168,0.3482678045311388,0.4820700323442554,0.31436320062683,4.366666666666666,3.5625,286,-2.528089395104895,470,-3.323811680851064
M9,Combined,18,12730,3851,41931.803015,45144.5545415,4510.703591,0.8749280329595823,0.900083107767661,0.9376262966455612,0.9742441209406496,0.9036613866528176,0.9036613866528176,0.0501168527655154,3480,92,371,0.2805970149253731,0.6902592301649646,0.0291437549096622,0.8337540626676343,0.9235084408094788,0.8763390932307387,0.6904906310380561,1.5066091954022989,1.5017241379310344,3572,-2.1067130044792832,3851,-1.893354602181252
M9,Alpha,10,10425,3381,32035.6572655,35170.891025000004,3918.943371500001,0.8692058067623027,0.8885742368962344,0.9396406082015052,0.9773162939297124,0.9047619047619048,0.9047619047619048,0.0496894409937888,3059,71,322,0.3002398081534772,0.6736690647482014,0.0260911270983213,0.8251219925768224,0.9243546719010532,0.8719240264394361,0.6745490901104643,1.550833605753514,1.5393919581562605,3130,-1.9315279929712463,3381,-1.6945037216799763
M9,Beta sure,8,2305,470,9896.1457495,9973.6635165,591.7602195,0.8945449477456121,0.940667717682573,0.9232456140350876,0.9524886877828054,0.8957446808510638,0.8957446808510638,0.0531914893617021,421,21,49,0.1917570498915401,0.76529284164859,0.0429501084598698,0.8782144590004852,0.9194351315655797,0.8983521937661306,0.8051679712001589,1.185273159144893,1.2280285035629457,442,-3.347276547511312,470,-3.323811680851064
