cohort,target,applies,rule,c_correct_mean,c_correct_min,c_correct_max,binding,all_attainable,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
alpha,0.95,energy,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.95,day,L,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.95,day,E,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.95,both,L,0.5,0.5,0.5,both,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.95,both,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.975,energy,L,0.5,0.5,0.5,energy,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.975,energy,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.975,day,L,0.5,0.5,0.5,day,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.975,day,E,0.5805,0.5,0.81,day,True,10393,3148,77,225,3071,0.9755400254129606,0.9083111505471754,0.8878490859457,0.8686659574790956,2.7060762051380736,129,4.533556239776773,0.9875877994804195
alpha,0.975,both,L,0.5,0.5,0.5,both,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.975,both,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.99,energy,L,0.5,0.5,0.5,energy,True,10393,3174,84,289,3090,0.9735349716446124,0.9139307897071872,0.8860446178641213,0.8671090387558814,2.9520831328778985,2,0.07028769363994997,0.9998075627826422
alpha,0.99,energy,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
alpha,0.99,day,L,0.6605,0.62,0.7,day,True,10393,3140,72,185,3068,0.9770700636942675,0.9074238391008578,0.8882579552591477,0.8690511895433894,2.530356971038199,187,6.571899355335322,0.9820071201770423
alpha,0.99,day,E,0.9869999999999999,0.96,0.995,day,False,10393,2819,30,2,2789,0.9893579283433842,0.8249038745933156,0.9019786926460044,0.8773611893175185,1.0543154045992496,3876,136.21755027422304,0.6270566727605119
alpha,0.99,both,L,0.6605,0.62,0.7,day,True,10393,3140,72,185,3068,0.9770700636942675,0.9074238391008578,0.8882579552591477,0.8690511895433894,2.530356971038199,187,6.571899355335322,0.9820071201770423
alpha,0.99,both,E,0.9949999999999999,0.995,0.995,energy,False,10393,2686,13,0,2673,0.9951600893521966,0.7905944986690329,0.9077784706137846,0.8807484839719084,0.4568700086596748,5920,208.0515731742519,0.4303858366208025
