fold_id,cohort,held_out,rule,target_energy,target_day,c_correct,threshold_energy,threshold_day,binding,n_calibration_days,attainable,applies,target
alpha_alpha_A,alpha,alpha_A,L,0.9,0.9,0.5,0.5,0.5,both,9356,True,both,0.9
alpha_alpha_B,alpha,alpha_B,L,0.9,0.9,0.5,0.5,0.5,both,9342,True,both,0.9
alpha_alpha_C,alpha,alpha_C,L,0.9,0.9,0.5,0.5,0.5,both,9342,True,both,0.9
alpha_alpha_D,alpha,alpha_D,L,0.9,0.9,0.5,0.5,0.5,both,9361,True,both,0.9
alpha_alpha_E,alpha,alpha_E,L,0.9,0.9,0.5,0.5,0.5,both,9362,True,both,0.9
alpha_alpha_F,alpha,alpha_F,L,0.9,0.9,0.5,0.5,0.5,both,9364,True,both,0.9
alpha_alpha_G,alpha,alpha_G,L,0.9,0.9,0.5,0.5,0.5,both,9360,True,both,0.9
alpha_alpha_H,alpha,alpha_H,L,0.9,0.9,0.5,0.5,0.5,both,9356,True,both,0.9
alpha_alpha_I,alpha,alpha_I,L,0.9,0.9,0.5,0.5,0.5,both,9353,True,both,0.9
alpha_alpha_J,alpha,alpha_J,L,0.9,0.9,0.5,0.5,0.5,both,9341,True,both,0.9
alpha_alpha_A,alpha,alpha_A,E,0.9,0.9,0.985,0.985,0.5,energy,9356,True,both,0.9
alpha_alpha_B,alpha,alpha_B,E,0.9,0.9,0.985,0.985,0.5,energy,9342,True,both,0.9
alpha_alpha_C,alpha,alpha_C,E,0.9,0.9,0.98,0.98,0.5,energy,9342,True,both,0.9
alpha_alpha_D,alpha,alpha_D,E,0.9,0.9,0.985,0.985,0.5,energy,9361,True,both,0.9
alpha_alpha_E,alpha,alpha_E,E,0.9,0.9,0.995,0.995,0.5,energy,9362,False,both,0.9
alpha_alpha_F,alpha,alpha_F,E,0.9,0.9,0.995,0.995,0.5,energy,9364,False,both,0.9
alpha_alpha_G,alpha,alpha_G,E,0.9,0.9,0.99,0.99,0.5,energy,9360,True,both,0.9
alpha_alpha_H,alpha,alpha_H,E,0.9,0.9,0.985,0.985,0.5,energy,9356,True,both,0.9
alpha_alpha_I,alpha,alpha_I,E,0.9,0.9,0.975,0.975,0.5,energy,9353,True,both,0.9
alpha_alpha_J,alpha,alpha_J,E,0.9,0.9,0.98,0.98,0.5,energy,9341,True,both,0.9
alpha_alpha_A,alpha,alpha_A,L,0.925,,0.5,0.5,,energy,9356,True,energy,0.925
alpha_alpha_B,alpha,alpha_B,L,0.925,,0.5,0.5,,energy,9342,True,energy,0.925
alpha_alpha_C,alpha,alpha_C,L,0.925,,0.5,0.5,,energy,9342,True,energy,0.925
alpha_alpha_D,alpha,alpha_D,L,0.925,,0.5,0.5,,energy,9361,True,energy,0.925
alpha_alpha_E,alpha,alpha_E,L,0.925,,0.5,0.5,,energy,9362,True,energy,0.925
alpha_alpha_F,alpha,alpha_F,L,0.925,,0.5,0.5,,energy,9364,True,energy,0.925
alpha_alpha_G,alpha,alpha_G,L,0.925,,0.5,0.5,,energy,9360,True,energy,0.925
alpha_alpha_H,alpha,alpha_H,L,0.925,,0.5,0.5,,energy,9356,True,energy,0.925
alpha_alpha_I,alpha,alpha_I,L,0.925,,0.5,0.5,,energy,9353,True,energy,0.925
alpha_alpha_J,alpha,alpha_J,L,0.925,,0.5,0.5,,energy,9341,True,energy,0.925
alpha_alpha_A,alpha,alpha_A,E,0.925,,0.995,0.995,,energy,9356,False,energy,0.925
alpha_alpha_B,alpha,alpha_B,E,0.925,,0.995,0.995,,energy,9342,False,energy,0.925
alpha_alpha_C,alpha,alpha_C,E,0.925,,0.995,0.995,,energy,9342,False,energy,0.925
alpha_alpha_D,alpha,alpha_D,E,0.925,,0.995,0.995,,energy,9361,False,energy,0.925
alpha_alpha_E,alpha,alpha_E,E,0.925,,0.995,0.995,,energy,9362,False,energy,0.925
alpha_alpha_F,alpha,alpha_F,E,0.925,,0.995,0.995,,energy,9364,False,energy,0.925
alpha_alpha_G,alpha,alpha_G,E,0.925,,0.995,0.995,,energy,9360,False,energy,0.925
alpha_alpha_H,alpha,alpha_H,E,0.925,,0.995,0.995,,energy,9356,False,energy,0.925
alpha_alpha_I,alpha,alpha_I,E,0.925,,0.995,0.995,,energy,9353,False,energy,0.925
alpha_alpha_J,alpha,alpha_J,E,0.925,,0.995,0.995,,energy,9341,False,energy,0.925
alpha_alpha_A,alpha,alpha_A,L,,0.925,0.5,,0.5,day,9356,True,day,0.925
alpha_alpha_B,alpha,alpha_B,L,,0.925,0.5,,0.5,day,9342,True,day,0.925
alpha_alpha_C,alpha,alpha_C,L,,0.925,0.5,,0.5,day,9342,True,day,0.925
alpha_alpha_D,alpha,alpha_D,L,,0.925,0.5,,0.5,day,9361,True,day,0.925
alpha_alpha_E,alpha,alpha_E,L,,0.925,0.5,,0.5,day,9362,True,day,0.925
alpha_alpha_F,alpha,alpha_F,L,,0.925,0.5,,0.5,day,9364,True,day,0.925
alpha_alpha_G,alpha,alpha_G,L,,0.925,0.5,,0.5,day,9360,True,day,0.925
alpha_alpha_H,alpha,alpha_H,L,,0.925,0.5,,0.5,day,9356,True,day,0.925
alpha_alpha_I,alpha,alpha_I,L,,0.925,0.5,,0.5,day,9353,True,day,0.925
alpha_alpha_J,alpha,alpha_J,L,,0.925,0.5,,0.5,day,9341,True,day,0.925
alpha_alpha_A,alpha,alpha_A,E,,0.925,0.5,,0.5,day,9356,True,day,0.925
alpha_alpha_B,alpha,alpha_B,E,,0.925,0.5,,0.5,day,9342,True,day,0.925
alpha_alpha_C,alpha,alpha_C,E,,0.925,0.5,,0.5,day,9342,True,day,0.925
alpha_alpha_D,alpha,alpha_D,E,,0.925,0.5,,0.5,day,9361,True,day,0.925
alpha_alpha_E,alpha,alpha_E,E,,0.925,0.5,,0.5,day,9362,True,day,0.925
alpha_alpha_F,alpha,alpha_F,E,,0.925,0.5,,0.5,day,9364,True,day,0.925
alpha_alpha_G,alpha,alpha_G,E,,0.925,0.5,,0.5,day,9360,True,day,0.925
alpha_alpha_H,alpha,alpha_H,E,,0.925,0.5,,0.5,day,9356,True,day,0.925
alpha_alpha_I,alpha,alpha_I,E,,0.925,0.5,,0.5,day,9353,True,day,0.925
alpha_alpha_J,alpha,alpha_J,E,,0.925,0.5,,0.5,day,9341,True,day,0.925
alpha_alpha_A,alpha,alpha_A,L,0.925,0.925,0.5,0.5,0.5,both,9356,True,both,0.925
alpha_alpha_B,alpha,alpha_B,L,0.925,0.925,0.5,0.5,0.5,both,9342,True,both,0.925
alpha_alpha_C,alpha,alpha_C,L,0.925,0.925,0.5,0.5,0.5,both,9342,True,both,0.925
alpha_alpha_D,alpha,alpha_D,L,0.925,0.925,0.5,0.5,0.5,both,9361,True,both,0.925
alpha_alpha_E,alpha,alpha_E,L,0.925,0.925,0.5,0.5,0.5,both,9362,True,both,0.925
alpha_alpha_F,alpha,alpha_F,L,0.925,0.925,0.5,0.5,0.5,both,9364,True,both,0.925
alpha_alpha_G,alpha,alpha_G,L,0.925,0.925,0.5,0.5,0.5,both,9360,True,both,0.925
alpha_alpha_H,alpha,alpha_H,L,0.925,0.925,0.5,0.5,0.5,both,9356,True,both,0.925
alpha_alpha_I,alpha,alpha_I,L,0.925,0.925,0.5,0.5,0.5,both,9353,True,both,0.925
alpha_alpha_J,alpha,alpha_J,L,0.925,0.925,0.5,0.5,0.5,both,9341,True,both,0.925
alpha_alpha_A,alpha,alpha_A,E,0.925,0.925,0.995,0.995,0.5,energy,9356,False,both,0.925
alpha_alpha_B,alpha,alpha_B,E,0.925,0.925,0.995,0.995,0.5,energy,9342,False,both,0.925
alpha_alpha_C,alpha,alpha_C,E,0.925,0.925,0.995,0.995,0.5,energy,9342,False,both,0.925
alpha_alpha_D,alpha,alpha_D,E,0.925,0.925,0.995,0.995,0.5,energy,9361,False,both,0.925
alpha_alpha_E,alpha,alpha_E,E,0.925,0.925,0.995,0.995,0.5,energy,9362,False,both,0.925
alpha_alpha_F,alpha,alpha_F,E,0.925,0.925,0.995,0.995,0.5,energy,9364,False,both,0.925
alpha_alpha_G,alpha,alpha_G,E,0.925,0.925,0.995,0.995,0.5,energy,9360,False,both,0.925
alpha_alpha_H,alpha,alpha_H,E,0.925,0.925,0.995,0.995,0.5,energy,9356,False,both,0.925
alpha_alpha_I,alpha,alpha_I,E,0.925,0.925,0.995,0.995,0.5,energy,9353,False,both,0.925
alpha_alpha_J,alpha,alpha_J,E,0.925,0.925,0.995,0.995,0.5,energy,9341,False,both,0.925
alpha_alpha_A,alpha,alpha_A,L,0.95,,0.5,0.5,,energy,9356,True,energy,0.95
alpha_alpha_B,alpha,alpha_B,L,0.95,,0.5,0.5,,energy,9342,True,energy,0.95
alpha_alpha_C,alpha,alpha_C,L,0.95,,0.5,0.5,,energy,9342,True,energy,0.95
alpha_alpha_D,alpha,alpha_D,L,0.95,,0.5,0.5,,energy,9361,True,energy,0.95
alpha_alpha_E,alpha,alpha_E,L,0.95,,0.5,0.5,,energy,9362,True,energy,0.95
alpha_alpha_F,alpha,alpha_F,L,0.95,,0.5,0.5,,energy,9364,True,energy,0.95
alpha_alpha_G,alpha,alpha_G,L,0.95,,0.5,0.5,,energy,9360,True,energy,0.95
alpha_alpha_H,alpha,alpha_H,L,0.95,,0.5,0.5,,energy,9356,True,energy,0.95
alpha_alpha_I,alpha,alpha_I,L,0.95,,0.5,0.5,,energy,9353,True,energy,0.95
alpha_alpha_J,alpha,alpha_J,L,0.95,,0.5,0.5,,energy,9341,True,energy,0.95
alpha_alpha_A,alpha,alpha_A,E,0.95,,0.995,0.995,,energy,9356,False,energy,0.95
alpha_alpha_B,alpha,alpha_B,E,0.95,,0.995,0.995,,energy,9342,False,energy,0.95
alpha_alpha_C,alpha,alpha_C,E,0.95,,0.995,0.995,,energy,9342,False,energy,0.95
alpha_alpha_D,alpha,alpha_D,E,0.95,,0.995,0.995,,energy,9361,False,energy,0.95
alpha_alpha_E,alpha,alpha_E,E,0.95,,0.995,0.995,,energy,9362,False,energy,0.95
alpha_alpha_F,alpha,alpha_F,E,0.95,,0.995,0.995,,energy,9364,False,energy,0.95
alpha_alpha_G,alpha,alpha_G,E,0.95,,0.995,0.995,,energy,9360,False,energy,0.95
alpha_alpha_H,alpha,alpha_H,E,0.95,,0.995,0.995,,energy,9356,False,energy,0.95
alpha_alpha_I,alpha,alpha_I,E,0.95,,0.995,0.995,,energy,9353,False,energy,0.95
alpha_alpha_J,alpha,alpha_J,E,0.95,,0.995,0.995,,energy,9341,False,energy,0.95
alpha_alpha_A,alpha,alpha_A,L,,0.95,0.5,,0.5,day,9356,True,day,0.95
alpha_alpha_B,alpha,alpha_B,L,,0.95,0.5,,0.5,day,9342,True,day,0.95
alpha_alpha_C,alpha,alpha_C,L,,0.95,0.5,,0.5,day,9342,True,day,0.95
alpha_alpha_D,alpha,alpha_D,L,,0.95,0.5,,0.5,day,9361,True,day,0.95
alpha_alpha_E,alpha,alpha_E,L,,0.95,0.5,,0.5,day,9362,True,day,0.95
alpha_alpha_F,alpha,alpha_F,L,,0.95,0.5,,0.5,day,9364,True,day,0.95
alpha_alpha_G,alpha,alpha_G,L,,0.95,0.5,,0.5,day,9360,True,day,0.95
alpha_alpha_H,alpha,alpha_H,L,,0.95,0.5,,0.5,day,9356,True,day,0.95
alpha_alpha_I,alpha,alpha_I,L,,0.95,0.5,,0.5,day,9353,True,day,0.95
alpha_alpha_J,alpha,alpha_J,L,,0.95,0.5,,0.5,day,9341,True,day,0.95
alpha_alpha_A,alpha,alpha_A,E,,0.95,0.5,,0.5,day,9356,True,day,0.95
alpha_alpha_B,alpha,alpha_B,E,,0.95,0.5,,0.5,day,9342,True,day,0.95
alpha_alpha_C,alpha,alpha_C,E,,0.95,0.5,,0.5,day,9342,True,day,0.95
alpha_alpha_D,alpha,alpha_D,E,,0.95,0.5,,0.5,day,9361,True,day,0.95
alpha_alpha_E,alpha,alpha_E,E,,0.95,0.5,,0.5,day,9362,True,day,0.95
alpha_alpha_F,alpha,alpha_F,E,,0.95,0.5,,0.5,day,9364,True,day,0.95
alpha_alpha_G,alpha,alpha_G,E,,0.95,0.5,,0.5,day,9360,True,day,0.95
alpha_alpha_H,alpha,alpha_H,E,,0.95,0.5,,0.5,day,9356,True,day,0.95
alpha_alpha_I,alpha,alpha_I,E,,0.95,0.5,,0.5,day,9353,True,day,0.95
alpha_alpha_J,alpha,alpha_J,E,,0.95,0.5,,0.5,day,9341,True,day,0.95
alpha_alpha_A,alpha,alpha_A,L,0.95,0.95,0.5,0.5,0.5,both,9356,True,both,0.95
alpha_alpha_B,alpha,alpha_B,L,0.95,0.95,0.5,0.5,0.5,both,9342,True,both,0.95
alpha_alpha_C,alpha,alpha_C,L,0.95,0.95,0.5,0.5,0.5,both,9342,True,both,0.95
alpha_alpha_D,alpha,alpha_D,L,0.95,0.95,0.5,0.5,0.5,both,9361,True,both,0.95
alpha_alpha_E,alpha,alpha_E,L,0.95,0.95,0.5,0.5,0.5,both,9362,True,both,0.95
alpha_alpha_F,alpha,alpha_F,L,0.95,0.95,0.5,0.5,0.5,both,9364,True,both,0.95
alpha_alpha_G,alpha,alpha_G,L,0.95,0.95,0.5,0.5,0.5,both,9360,True,both,0.95
alpha_alpha_H,alpha,alpha_H,L,0.95,0.95,0.5,0.5,0.5,both,9356,True,both,0.95
alpha_alpha_I,alpha,alpha_I,L,0.95,0.95,0.5,0.5,0.5,both,9353,True,both,0.95
alpha_alpha_J,alpha,alpha_J,L,0.95,0.95,0.5,0.5,0.5,both,9341,True,both,0.95
alpha_alpha_A,alpha,alpha_A,E,0.95,0.95,0.995,0.995,0.5,energy,9356,False,both,0.95
alpha_alpha_B,alpha,alpha_B,E,0.95,0.95,0.995,0.995,0.5,energy,9342,False,both,0.95
alpha_alpha_C,alpha,alpha_C,E,0.95,0.95,0.995,0.995,0.5,energy,9342,False,both,0.95
alpha_alpha_D,alpha,alpha_D,E,0.95,0.95,0.995,0.995,0.5,energy,9361,False,both,0.95
alpha_alpha_E,alpha,alpha_E,E,0.95,0.95,0.995,0.995,0.5,energy,9362,False,both,0.95
alpha_alpha_F,alpha,alpha_F,E,0.95,0.95,0.995,0.995,0.5,energy,9364,False,both,0.95
alpha_alpha_G,alpha,alpha_G,E,0.95,0.95,0.995,0.995,0.5,energy,9360,False,both,0.95
alpha_alpha_H,alpha,alpha_H,E,0.95,0.95,0.995,0.995,0.5,energy,9356,False,both,0.95
alpha_alpha_I,alpha,alpha_I,E,0.95,0.95,0.995,0.995,0.5,energy,9353,False,both,0.95
alpha_alpha_J,alpha,alpha_J,E,0.95,0.95,0.995,0.995,0.5,energy,9341,False,both,0.95
alpha_alpha_A,alpha,alpha_A,L,0.975,,0.5,0.5,,energy,9356,True,energy,0.975
alpha_alpha_B,alpha,alpha_B,L,0.975,,0.5,0.5,,energy,9342,True,energy,0.975
alpha_alpha_C,alpha,alpha_C,L,0.975,,0.5,0.5,,energy,9342,True,energy,0.975
alpha_alpha_D,alpha,alpha_D,L,0.975,,0.5,0.5,,energy,9361,True,energy,0.975
alpha_alpha_E,alpha,alpha_E,L,0.975,,0.5,0.5,,energy,9362,True,energy,0.975
alpha_alpha_F,alpha,alpha_F,L,0.975,,0.5,0.5,,energy,9364,True,energy,0.975
alpha_alpha_G,alpha,alpha_G,L,0.975,,0.5,0.5,,energy,9360,True,energy,0.975
alpha_alpha_H,alpha,alpha_H,L,0.975,,0.5,0.5,,energy,9356,True,energy,0.975
alpha_alpha_I,alpha,alpha_I,L,0.975,,0.5,0.5,,energy,9353,True,energy,0.975
alpha_alpha_J,alpha,alpha_J,L,0.975,,0.5,0.5,,energy,9341,True,energy,0.975
alpha_alpha_A,alpha,alpha_A,E,0.975,,0.995,0.995,,energy,9356,False,energy,0.975
alpha_alpha_B,alpha,alpha_B,E,0.975,,0.995,0.995,,energy,9342,False,energy,0.975
alpha_alpha_C,alpha,alpha_C,E,0.975,,0.995,0.995,,energy,9342,False,energy,0.975
alpha_alpha_D,alpha,alpha_D,E,0.975,,0.995,0.995,,energy,9361,False,energy,0.975
alpha_alpha_E,alpha,alpha_E,E,0.975,,0.995,0.995,,energy,9362,False,energy,0.975
alpha_alpha_F,alpha,alpha_F,E,0.975,,0.995,0.995,,energy,9364,False,energy,0.975
alpha_alpha_G,alpha,alpha_G,E,0.975,,0.995,0.995,,energy,9360,False,energy,0.975
alpha_alpha_H,alpha,alpha_H,E,0.975,,0.995,0.995,,energy,9356,False,energy,0.975
alpha_alpha_I,alpha,alpha_I,E,0.975,,0.995,0.995,,energy,9353,False,energy,0.975
alpha_alpha_J,alpha,alpha_J,E,0.975,,0.995,0.995,,energy,9341,False,energy,0.975
alpha_alpha_A,alpha,alpha_A,L,,0.975,0.5,,0.5,day,9356,True,day,0.975
alpha_alpha_B,alpha,alpha_B,L,,0.975,0.5,,0.5,day,9342,True,day,0.975
alpha_alpha_C,alpha,alpha_C,L,,0.975,0.5,,0.5,day,9342,True,day,0.975
alpha_alpha_D,alpha,alpha_D,L,,0.975,0.5,,0.5,day,9361,True,day,0.975
alpha_alpha_E,alpha,alpha_E,L,,0.975,0.5,,0.5,day,9362,True,day,0.975
alpha_alpha_F,alpha,alpha_F,L,,0.975,0.5,,0.5,day,9364,True,day,0.975
alpha_alpha_G,alpha,alpha_G,L,,0.975,0.5,,0.5,day,9360,True,day,0.975
alpha_alpha_H,alpha,alpha_H,L,,0.975,0.5,,0.5,day,9356,True,day,0.975
alpha_alpha_I,alpha,alpha_I,L,,0.975,0.5,,0.5,day,9353,True,day,0.975
alpha_alpha_J,alpha,alpha_J,L,,0.975,0.5,,0.5,day,9341,True,day,0.975
alpha_alpha_A,alpha,alpha_A,E,,0.975,0.555,,0.555,day,9356,True,day,0.975
alpha_alpha_B,alpha,alpha_B,E,,0.975,0.535,,0.535,day,9342,True,day,0.975
alpha_alpha_C,alpha,alpha_C,E,,0.975,0.5,,0.5,day,9342,True,day,0.975
alpha_alpha_D,alpha,alpha_D,E,,0.975,0.555,,0.555,day,9361,True,day,0.975
alpha_alpha_E,alpha,alpha_E,E,,0.975,0.73,,0.73,day,9362,True,day,0.975
alpha_alpha_F,alpha,alpha_F,E,,0.975,0.81,,0.81,day,9364,True,day,0.975
alpha_alpha_G,alpha,alpha_G,E,,0.975,0.5,,0.5,day,9360,True,day,0.975
alpha_alpha_H,alpha,alpha_H,E,,0.975,0.555,,0.555,day,9356,True,day,0.975
alpha_alpha_I,alpha,alpha_I,E,,0.975,0.555,,0.555,day,9353,True,day,0.975
alpha_alpha_J,alpha,alpha_J,E,,0.975,0.51,,0.51,day,9341,True,day,0.975
alpha_alpha_A,alpha,alpha_A,L,0.975,0.975,0.5,0.5,0.5,both,9356,True,both,0.975
alpha_alpha_B,alpha,alpha_B,L,0.975,0.975,0.5,0.5,0.5,both,9342,True,both,0.975
alpha_alpha_C,alpha,alpha_C,L,0.975,0.975,0.5,0.5,0.5,both,9342,True,both,0.975
alpha_alpha_D,alpha,alpha_D,L,0.975,0.975,0.5,0.5,0.5,both,9361,True,both,0.975
alpha_alpha_E,alpha,alpha_E,L,0.975,0.975,0.5,0.5,0.5,both,9362,True,both,0.975
alpha_alpha_F,alpha,alpha_F,L,0.975,0.975,0.5,0.5,0.5,both,9364,True,both,0.975
alpha_alpha_G,alpha,alpha_G,L,0.975,0.975,0.5,0.5,0.5,both,9360,True,both,0.975
alpha_alpha_H,alpha,alpha_H,L,0.975,0.975,0.5,0.5,0.5,both,9356,True,both,0.975
alpha_alpha_I,alpha,alpha_I,L,0.975,0.975,0.5,0.5,0.5,both,9353,True,both,0.975
alpha_alpha_J,alpha,alpha_J,L,0.975,0.975,0.5,0.5,0.5,both,9341,True,both,0.975
alpha_alpha_A,alpha,alpha_A,E,0.975,0.975,0.995,0.995,0.555,energy,9356,False,both,0.975
alpha_alpha_B,alpha,alpha_B,E,0.975,0.975,0.995,0.995,0.535,energy,9342,False,both,0.975
alpha_alpha_C,alpha,alpha_C,E,0.975,0.975,0.995,0.995,0.5,energy,9342,False,both,0.975
alpha_alpha_D,alpha,alpha_D,E,0.975,0.975,0.995,0.995,0.555,energy,9361,False,both,0.975
alpha_alpha_E,alpha,alpha_E,E,0.975,0.975,0.995,0.995,0.73,energy,9362,False,both,0.975
alpha_alpha_F,alpha,alpha_F,E,0.975,0.975,0.995,0.995,0.81,energy,9364,False,both,0.975
alpha_alpha_G,alpha,alpha_G,E,0.975,0.975,0.995,0.995,0.5,energy,9360,False,both,0.975
alpha_alpha_H,alpha,alpha_H,E,0.975,0.975,0.995,0.995,0.555,energy,9356,False,both,0.975
alpha_alpha_I,alpha,alpha_I,E,0.975,0.975,0.995,0.995,0.555,energy,9353,False,both,0.975
alpha_alpha_J,alpha,alpha_J,E,0.975,0.975,0.995,0.995,0.51,energy,9341,False,both,0.975
alpha_alpha_A,alpha,alpha_A,L,0.99,,0.5,0.5,,energy,9356,True,energy,0.99
alpha_alpha_B,alpha,alpha_B,L,0.99,,0.5,0.5,,energy,9342,True,energy,0.99
alpha_alpha_C,alpha,alpha_C,L,0.99,,0.5,0.5,,energy,9342,True,energy,0.99
alpha_alpha_D,alpha,alpha_D,L,0.99,,0.5,0.5,,energy,9361,True,energy,0.99
alpha_alpha_E,alpha,alpha_E,L,0.99,,0.5,0.5,,energy,9362,True,energy,0.99
alpha_alpha_F,alpha,alpha_F,L,0.99,,0.5,0.5,,energy,9364,True,energy,0.99
alpha_alpha_G,alpha,alpha_G,L,0.99,,0.5,0.5,,energy,9360,True,energy,0.99
alpha_alpha_H,alpha,alpha_H,L,0.99,,0.5,0.5,,energy,9356,True,energy,0.99
alpha_alpha_I,alpha,alpha_I,L,0.99,,0.5,0.5,,energy,9353,True,energy,0.99
alpha_alpha_J,alpha,alpha_J,L,0.99,,0.5,0.5,,energy,9341,True,energy,0.99
alpha_alpha_A,alpha,alpha_A,E,0.99,,0.995,0.995,,energy,9356,False,energy,0.99
alpha_alpha_B,alpha,alpha_B,E,0.99,,0.995,0.995,,energy,9342,False,energy,0.99
alpha_alpha_C,alpha,alpha_C,E,0.99,,0.995,0.995,,energy,9342,False,energy,0.99
alpha_alpha_D,alpha,alpha_D,E,0.99,,0.995,0.995,,energy,9361,False,energy,0.99
alpha_alpha_E,alpha,alpha_E,E,0.99,,0.995,0.995,,energy,9362,False,energy,0.99
alpha_alpha_F,alpha,alpha_F,E,0.99,,0.995,0.995,,energy,9364,False,energy,0.99
alpha_alpha_G,alpha,alpha_G,E,0.99,,0.995,0.995,,energy,9360,False,energy,0.99
alpha_alpha_H,alpha,alpha_H,E,0.99,,0.995,0.995,,energy,9356,False,energy,0.99
alpha_alpha_I,alpha,alpha_I,E,0.99,,0.995,0.995,,energy,9353,False,energy,0.99
alpha_alpha_J,alpha,alpha_J,E,0.99,,0.995,0.995,,energy,9341,False,energy,0.99
alpha_alpha_A,alpha,alpha_A,L,,0.99,0.66,,0.66,day,9356,True,day,0.99
alpha_alpha_B,alpha,alpha_B,L,,0.99,0.655,,0.655,day,9342,True,day,0.99
alpha_alpha_C,alpha,alpha_C,L,,0.99,0.635,,0.635,day,9342,True,day,0.99
alpha_alpha_D,alpha,alpha_D,L,,0.99,0.66,,0.66,day,9361,True,day,0.99
alpha_alpha_E,alpha,alpha_E,L,,0.99,0.675,,0.675,day,9362,True,day,0.99
alpha_alpha_F,alpha,alpha_F,L,,0.99,0.7,,0.7,day,9364,True,day,0.99
alpha_alpha_G,alpha,alpha_G,L,,0.99,0.68,,0.68,day,9360,True,day,0.99
alpha_alpha_H,alpha,alpha_H,L,,0.99,0.66,,0.66,day,9356,True,day,0.99
alpha_alpha_I,alpha,alpha_I,L,,0.99,0.66,,0.66,day,9353,True,day,0.99
alpha_alpha_J,alpha,alpha_J,L,,0.99,0.62,,0.62,day,9341,True,day,0.99
alpha_alpha_A,alpha,alpha_A,E,,0.99,0.99,,0.99,day,9356,True,day,0.99
alpha_alpha_B,alpha,alpha_B,E,,0.99,0.99,,0.99,day,9342,True,day,0.99
alpha_alpha_C,alpha,alpha_C,E,,0.99,0.96,,0.96,day,9342,True,day,0.99
alpha_alpha_D,alpha,alpha_D,E,,0.99,0.99,,0.99,day,9361,True,day,0.99
alpha_alpha_E,alpha,alpha_E,E,,0.99,0.99,,0.99,day,9362,True,day,0.99
alpha_alpha_F,alpha,alpha_F,E,,0.99,0.995,,0.995,day,9364,False,day,0.99
alpha_alpha_G,alpha,alpha_G,E,,0.99,0.985,,0.985,day,9360,True,day,0.99
alpha_alpha_H,alpha,alpha_H,E,,0.99,0.99,,0.99,day,9356,True,day,0.99
alpha_alpha_I,alpha,alpha_I,E,,0.99,0.99,,0.99,day,9353,True,day,0.99
alpha_alpha_J,alpha,alpha_J,E,,0.99,0.99,,0.99,day,9341,True,day,0.99
alpha_alpha_A,alpha,alpha_A,L,0.99,0.99,0.66,0.5,0.66,day,9356,True,both,0.99
alpha_alpha_B,alpha,alpha_B,L,0.99,0.99,0.655,0.5,0.655,day,9342,True,both,0.99
alpha_alpha_C,alpha,alpha_C,L,0.99,0.99,0.635,0.5,0.635,day,9342,True,both,0.99
alpha_alpha_D,alpha,alpha_D,L,0.99,0.99,0.66,0.5,0.66,day,9361,True,both,0.99
alpha_alpha_E,alpha,alpha_E,L,0.99,0.99,0.675,0.5,0.675,day,9362,True,both,0.99
alpha_alpha_F,alpha,alpha_F,L,0.99,0.99,0.7,0.5,0.7,day,9364,True,both,0.99
alpha_alpha_G,alpha,alpha_G,L,0.99,0.99,0.68,0.5,0.68,day,9360,True,both,0.99
alpha_alpha_H,alpha,alpha_H,L,0.99,0.99,0.66,0.5,0.66,day,9356,True,both,0.99
alpha_alpha_I,alpha,alpha_I,L,0.99,0.99,0.66,0.5,0.66,day,9353,True,both,0.99
alpha_alpha_J,alpha,alpha_J,L,0.99,0.99,0.62,0.5,0.62,day,9341,True,both,0.99
alpha_alpha_A,alpha,alpha_A,E,0.99,0.99,0.995,0.995,0.99,energy,9356,False,both,0.99
alpha_alpha_B,alpha,alpha_B,E,0.99,0.99,0.995,0.995,0.99,energy,9342,False,both,0.99
alpha_alpha_C,alpha,alpha_C,E,0.99,0.99,0.995,0.995,0.96,energy,9342,False,both,0.99
alpha_alpha_D,alpha,alpha_D,E,0.99,0.99,0.995,0.995,0.99,energy,9361,False,both,0.99
alpha_alpha_E,alpha,alpha_E,E,0.99,0.99,0.995,0.995,0.99,energy,9362,False,both,0.99
alpha_alpha_F,alpha,alpha_F,E,0.99,0.99,0.995,0.995,0.995,both,9364,False,both,0.99
alpha_alpha_G,alpha,alpha_G,E,0.99,0.99,0.995,0.995,0.985,energy,9360,False,both,0.99
alpha_alpha_H,alpha,alpha_H,E,0.99,0.99,0.995,0.995,0.99,energy,9356,False,both,0.99
alpha_alpha_I,alpha,alpha_I,E,0.99,0.99,0.995,0.995,0.99,energy,9353,False,both,0.99
alpha_alpha_J,alpha,alpha_J,E,0.99,0.99,0.995,0.995,0.99,energy,9341,False,both,0.99
