cohort,group,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,ece,brier,calibration_in_the_large
alpha,headline,10425,3381,32035.657265499998,36402.72079,0.8462340657537312,0.8617268160658275,0.9735015772870662,0.9127477077787637,0.9421462372156922,3086,84,295,0.3040767386091127,0.6786570743405276,0.017266187050359712,3381,0.9127477077787637,0.03460514640638864,0.023821153947327787,0.023849190450146156,0.00012720858975506788
beta,headline,2305,470,9896.145749500001,10192.3843315,0.8640082834078763,0.9135712761264805,0.9583333333333334,0.8808510638297873,0.917960088691796,414,18,56,0.18741865509761388,0.7696312364425163,0.04295010845986985,470,0.8808510638297873,0.07446808510638298,0.007109340576767986,0.02514025446516736,0.000391245376052507
beta,unsure_sensitivity,617,159,1563.540946,1833.3414265000001,0.3909765159995849,0.520796468785843,0.5970149253731343,0.5031446540880503,0.5460750853242321,80,54,79,0.2171799027552674,0.640194489465154,0.1426256077795786,0,,,,,
